 ,5.09 BN - Rhenusallee ,5.09 BN - Rhenusallee Radfahrer Ri. Beuel ,5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel
2016-10-31-04-45-00,0,0,0
2016-10-31-05-00-00,0,0,0
2016-10-31-05-15-00,0,0,0
2016-10-31-05-30-00,1,1,0
2016-10-31-05-45-00,1,0,1
2016-10-31-06-00-00,4,4,0
2016-10-31-06-15-00,2,1,1
2016-10-31-06-30-00,7,1,6
2016-10-31-06-45-00,8,5,3
2016-10-31-07-00-00,11,4,7
2016-10-31-07-15-00,24,8,16
2016-10-31-07-30-00,34,12,22
2016-10-31-07-45-00,28,8,20
2016-10-31-08-00-00,29,9,20
2016-10-31-08-15-00,34,9,25
2016-10-31-08-30-00,29,8,21
2016-10-31-08-45-00,28,12,16
2016-10-31-09-00-00,15,3,12
2016-10-31-09-15-00,37,9,28
2016-10-31-09-30-00,10,3,7
2016-10-31-09-45-00,19,9,10
2016-10-31-10-00-00,18,6,12
2016-10-31-10-15-00,29,22,7
2016-10-31-10-30-00,26,9,17
2016-10-31-10-45-00,17,11,6
2016-10-31-11-00-00,24,17,7
2016-10-31-11-15-00,30,14,16
2016-10-31-11-30-00,27,11,16
2016-10-31-11-45-00,44,17,27
2016-10-31-12-00-00,32,17,15
2016-10-31-12-15-00,21,8,13
2016-10-31-12-30-00,44,16,28
2016-10-31-12-45-00,32,8,24
2016-10-31-13-00-00,34,13,21
2016-10-31-13-15-00,38,18,20
2016-10-31-13-30-00,51,20,31
2016-10-31-13-45-00,44,19,25
2016-10-31-14-00-00,60,32,28
2016-10-31-14-15-00,60,35,25
2016-10-31-14-30-00,67,28,39
2016-10-31-14-45-00,61,28,33
2016-10-31-15-00-00,78,44,34
2016-10-31-15-15-00,74,45,29
2016-10-31-15-30-00,76,35,41
2016-10-31-15-45-00,42,20,22
2016-10-31-16-00-00,52,29,23
2016-10-31-16-15-00,84,54,30
2016-10-31-16-30-00,68,47,21
2016-10-31-16-45-00,69,48,21
2016-10-31-17-00-00,49,32,17
2016-10-31-17-15-00,53,37,16
2016-10-31-17-30-00,31,24,7
2016-10-31-17-45-00,24,14,10
2016-10-31-18-00-00,17,10,7
2016-10-31-18-15-00,11,9,2
2016-10-31-18-30-00,16,12,4
2016-10-31-18-45-00,14,8,6
2016-10-31-19-00-00,12,10,2
2016-10-31-19-15-00,8,5,3
2016-10-31-19-30-00,3,2,1
2016-10-31-19-45-00,10,7,3
2016-10-31-20-00-00,5,5,0
2016-10-31-20-15-00,4,1,3
2016-10-31-20-30-00,3,1,2
2016-10-31-20-45-00,5,4,1
2016-10-31-21-00-00,2,1,1
2016-10-31-21-15-00,4,1,3
2016-10-31-21-30-00,0,0,0
2016-10-31-21-45-00,1,0,1
2016-10-31-22-00-00,0,0,0
2016-10-31-22-15-00,0,0,0
2016-10-31-22-30-00,0,0,0
2016-10-31-22-45-00,1,1,0
2016-10-31-23-00-00,2,0,2
2016-10-31-23-15-00,3,2,1
2016-10-31-23-30-00,2,1,1
2016-10-31-23-45-00,0,0,0
2016-11-01-00-00-00,0,0,0
2016-11-01-00-15-00,0,0,0
2016-11-01-00-30-00,0,0,0
2016-11-01-00-45-00,0,0,0
2016-11-01-01-00-00,0,0,0
2016-11-01-01-15-00,0,0,0
2016-11-01-01-30-00,0,0,0
2016-11-01-01-45-00,1,0,1
2016-11-01-02-00-00,0,0,0
2016-11-01-02-15-00,1,0,1
2016-11-01-02-30-00,1,1,0
2016-11-01-02-45-00,0,0,0
2016-11-01-03-00-00,1,1,0
2016-11-01-03-15-00,1,0,1
2016-11-01-03-30-00,1,0,1
2016-11-01-03-45-00,0,0,0
2016-11-01-04-00-00,0,0,0
2016-11-01-04-15-00,0,0,0
2016-11-01-04-30-00,0,0,0
2016-11-01-04-45-00,0,0,0
2016-11-01-05-00-00,1,0,1
2016-11-01-05-15-00,0,0,0
2016-11-01-05-30-00,0,0,0
2016-11-01-05-45-00,0,0,0
2016-11-01-06-00-00,3,2,1
2016-11-01-06-15-00,0,0,0
2016-11-01-06-30-00,0,0,0
2016-11-01-06-45-00,0,0,0
2016-11-01-07-00-00,2,0,2
2016-11-01-07-15-00,1,0,1
2016-11-01-07-30-00,3,1,2
2016-11-01-07-45-00,2,2,0
2016-11-01-08-00-00,3,1,2
2016-11-01-08-15-00,7,5,2
2016-11-01-08-30-00,6,2,4
2016-11-01-08-45-00,13,7,6
2016-11-01-09-00-00,9,2,7
2016-11-01-09-15-00,13,9,4
2016-11-01-09-30-00,16,11,5
2016-11-01-09-45-00,28,13,15
2016-11-01-10-00-00,20,5,15
2016-11-01-10-15-00,21,11,10
2016-11-01-10-30-00,34,24,10
2016-11-01-10-45-00,33,16,17
2016-11-01-11-00-00,44,22,22
2016-11-01-11-15-00,41,10,31
2016-11-01-11-30-00,73,24,49
2016-11-01-11-45-00,56,29,27
2016-11-01-12-00-00,76,29,47
2016-11-01-12-15-00,57,20,37
2016-11-01-12-30-00,79,26,53
2016-11-01-12-45-00,64,27,37
2016-11-01-13-00-00,68,28,40
2016-11-01-13-15-00,91,44,47
2016-11-01-13-30-00,76,22,54
2016-11-01-13-45-00,75,32,43
2016-11-01-14-00-00,89,56,33
2016-11-01-14-15-00,92,47,45
2016-11-01-14-30-00,120,81,39
2016-11-01-14-45-00,99,50,49
2016-11-01-15-00-00,116,50,66
2016-11-01-15-15-00,101,44,57
2016-11-01-15-30-00,100,65,35
2016-11-01-15-45-00,95,59,36
2016-11-01-16-00-00,60,42,18
2016-11-01-16-15-00,85,49,36
2016-11-01-16-30-00,70,40,30
2016-11-01-16-45-00,70,53,17
2016-11-01-17-00-00,53,34,19
2016-11-01-17-15-00,41,20,21
2016-11-01-17-30-00,32,23,9
2016-11-01-17-45-00,20,15,5
2016-11-01-18-00-00,8,6,2
2016-11-01-18-15-00,11,4,7
2016-11-01-18-30-00,4,1,3
2016-11-01-18-45-00,3,3,0
2016-11-01-19-00-00,7,3,4
2016-11-01-19-15-00,1,1,0
2016-11-01-19-30-00,4,1,3
2016-11-01-19-45-00,7,4,3
2016-11-01-20-00-00,2,2,0
2016-11-01-20-15-00,1,1,0
2016-11-01-20-30-00,2,2,0
2016-11-01-20-45-00,1,0,1
2016-11-01-21-00-00,2,1,1
2016-11-01-21-15-00,0,0,0
2016-11-01-21-30-00,3,2,1
2016-11-01-21-45-00,2,2,0
2016-11-01-22-00-00,0,0,0
2016-11-01-22-15-00,1,0,1
2016-11-01-22-30-00,0,0,0
2016-11-01-22-45-00,0,0,0
2016-11-01-23-00-00,0,0,0
2016-11-01-23-15-00,0,0,0
2016-11-01-23-30-00,0,0,0
2016-11-01-23-45-00,0,0,0
2016-11-02-00-00-00,0,0,0
2016-11-02-00-15-00,0,0,0
2016-11-02-00-30-00,0,0,0
2016-11-02-00-45-00,0,0,0
2016-11-02-01-00-00,0,0,0
2016-11-02-01-15-00,0,0,0
2016-11-02-01-30-00,0,0,0
2016-11-02-01-45-00,0,0,0
2016-11-02-02-00-00,0,0,0
2016-11-02-02-15-00,0,0,0
2016-11-02-02-30-00,0,0,0
2016-11-02-02-45-00,0,0,0
2016-11-02-03-00-00,0,0,0
2016-11-02-03-15-00,1,0,1
2016-11-02-03-30-00,0,0,0
2016-11-02-03-45-00,0,0,0
2016-11-02-04-00-00,0,0,0
2016-11-02-04-15-00,1,0,1
2016-11-02-04-30-00,0,0,0
2016-11-02-04-45-00,0,0,0
2016-11-02-05-00-00,0,0,0
2016-11-02-05-15-00,0,0,0
2016-11-02-05-30-00,1,0,1
2016-11-02-05-45-00,2,0,2
2016-11-02-06-00-00,6,2,4
2016-11-02-06-15-00,4,1,3
2016-11-02-06-30-00,5,2,3
2016-11-02-06-45-00,12,2,10
2016-11-02-07-00-00,14,6,8
2016-11-02-07-15-00,22,7,15
2016-11-02-07-30-00,41,17,24
2016-11-02-07-45-00,35,5,30
2016-11-02-08-00-00,49,16,33
2016-11-02-08-15-00,52,10,42
2016-11-02-08-30-00,34,4,30
2016-11-02-08-45-00,31,2,29
2016-11-02-09-00-00,29,9,20
2016-11-02-09-15-00,16,8,8
2016-11-02-09-30-00,12,4,8
2016-11-02-09-45-00,8,6,2
2016-11-02-10-00-00,5,2,3
2016-11-02-10-15-00,7,6,1
2016-11-02-10-30-00,6,3,3
2016-11-02-10-45-00,6,1,5
2016-11-02-11-00-00,3,2,1
2016-11-02-11-15-00,11,6,5
2016-11-02-11-30-00,12,2,10
2016-11-02-11-45-00,9,3,6
2016-11-02-12-00-00,6,3,3
2016-11-02-12-15-00,4,3,1
2016-11-02-12-30-00,5,3,2
2016-11-02-12-45-00,3,2,1
2016-11-02-13-00-00,8,5,3
2016-11-02-13-15-00,8,5,3
2016-11-02-13-30-00,9,5,4
2016-11-02-13-45-00,13,10,3
2016-11-02-14-00-00,19,8,11
2016-11-02-14-15-00,12,7,5
2016-11-02-14-30-00,13,8,5
2016-11-02-14-45-00,15,9,6
2016-11-02-15-00-00,15,7,8
2016-11-02-15-15-00,13,6,7
2016-11-02-15-30-00,17,15,2
2016-11-02-15-45-00,23,12,11
2016-11-02-16-00-00,32,23,9
2016-11-02-16-15-00,37,24,13
2016-11-02-16-30-00,30,23,7
2016-11-02-16-45-00,44,29,15
2016-11-02-17-00-00,34,26,8
2016-11-02-17-15-00,32,28,4
2016-11-02-17-30-00,31,21,10
2016-11-02-17-45-00,32,27,5
2016-11-02-18-00-00,22,15,7
2016-11-02-18-15-00,25,24,1
2016-11-02-18-30-00,13,10,3
2016-11-02-18-45-00,22,15,7
2016-11-02-19-00-00,16,12,4
2016-11-02-19-15-00,15,6,9
2016-11-02-19-30-00,8,7,1
2016-11-02-19-45-00,5,1,4
2016-11-02-20-00-00,6,4,2
2016-11-02-20-15-00,6,6,0
2016-11-02-20-30-00,3,2,1
2016-11-02-20-45-00,7,4,3
2016-11-02-21-00-00,4,3,1
2016-11-02-21-15-00,1,1,0
2016-11-02-21-30-00,5,1,4
2016-11-02-21-45-00,1,0,1
2016-11-02-22-00-00,3,1,2
2016-11-02-22-15-00,1,0,1
2016-11-02-22-30-00,2,2,0
2016-11-02-22-45-00,1,1,0
2016-11-02-23-00-00,0,0,0
2016-11-02-23-15-00,2,2,0
2016-11-02-23-30-00,0,0,0
2016-11-02-23-45-00,0,0,0
2016-11-03-00-00-00,0,0,0
2016-11-03-00-15-00,0,0,0
2016-11-03-00-30-00,0,0,0
2016-11-03-00-45-00,0,0,0
2016-11-03-01-00-00,0,0,0
2016-11-03-01-15-00,0,0,0
2016-11-03-01-30-00,0,0,0
2016-11-03-01-45-00,0,0,0
2016-11-03-02-00-00,0,0,0
2016-11-03-02-15-00,0,0,0
2016-11-03-02-30-00,0,0,0
2016-11-03-02-45-00,0,0,0
2016-11-03-03-00-00,0,0,0
2016-11-03-03-15-00,1,1,0
2016-11-03-03-30-00,0,0,0
2016-11-03-03-45-00,0,0,0
2016-11-03-04-00-00,0,0,0
2016-11-03-04-15-00,0,0,0
2016-11-03-04-30-00,0,0,0
2016-11-03-04-45-00,0,0,0
2016-11-03-05-00-00,0,0,0
2016-11-03-05-15-00,0,0,0
2016-11-03-05-30-00,2,0,2
2016-11-03-05-45-00,2,1,1
2016-11-03-06-00-00,6,1,5
2016-11-03-06-15-00,1,0,1
2016-11-03-06-30-00,6,3,3
2016-11-03-06-45-00,12,5,7
2016-11-03-07-00-00,21,9,12
2016-11-03-07-15-00,22,5,17
2016-11-03-07-30-00,49,21,28
2016-11-03-07-45-00,50,8,42
2016-11-03-08-00-00,44,15,29
2016-11-03-08-15-00,57,12,45
2016-11-03-08-30-00,43,11,32
2016-11-03-08-45-00,35,8,27
2016-11-03-09-00-00,27,9,18
2016-11-03-09-15-00,17,6,11
2016-11-03-09-30-00,12,4,8
2016-11-03-09-45-00,22,12,10
2016-11-03-10-00-00,10,3,7
2016-11-03-10-15-00,8,4,4
2016-11-03-10-30-00,6,3,3
2016-11-03-10-45-00,17,7,10
2016-11-03-11-00-00,13,6,7
2016-11-03-11-15-00,14,9,5
2016-11-03-11-30-00,17,6,11
2016-11-03-11-45-00,12,5,7
2016-11-03-12-00-00,10,4,6
2016-11-03-12-15-00,9,5,4
2016-11-03-12-30-00,10,4,6
2016-11-03-12-45-00,10,7,3
2016-11-03-13-00-00,13,8,5
2016-11-03-13-15-00,18,9,9
2016-11-03-13-30-00,8,4,4
2016-11-03-13-45-00,16,11,5
2016-11-03-14-00-00,18,10,8
2016-11-03-14-15-00,12,7,5
2016-11-03-14-30-00,23,15,8
2016-11-03-14-45-00,14,5,9
2016-11-03-15-00-00,16,11,5
2016-11-03-15-15-00,24,15,9
2016-11-03-15-30-00,23,10,13
2016-11-03-15-45-00,21,15,6
2016-11-03-16-00-00,27,15,12
2016-11-03-16-15-00,28,22,6
2016-11-03-16-30-00,45,31,14
2016-11-03-16-45-00,47,32,15
2016-11-03-17-00-00,48,36,12
2016-11-03-17-15-00,30,20,10
2016-11-03-17-30-00,36,27,9
2016-11-03-17-45-00,27,23,4
2016-11-03-18-00-00,27,16,11
2016-11-03-18-15-00,23,14,9
2016-11-03-18-30-00,29,21,8
2016-11-03-18-45-00,26,16,10
2016-11-03-19-00-00,20,10,10
2016-11-03-19-15-00,7,5,2
2016-11-03-19-30-00,9,6,3
2016-11-03-19-45-00,4,3,1
2016-11-03-20-00-00,5,4,1
2016-11-03-20-15-00,11,5,6
2016-11-03-20-30-00,7,5,2
2016-11-03-20-45-00,1,0,1
2016-11-03-21-00-00,0,0,0
2016-11-03-21-15-00,3,0,3
2016-11-03-21-30-00,3,3,0
2016-11-03-21-45-00,5,3,2
2016-11-03-22-00-00,3,3,0
2016-11-03-22-15-00,1,0,1
2016-11-03-22-30-00,2,0,2
2016-11-03-22-45-00,0,0,0
2016-11-03-23-00-00,0,0,0
2016-11-03-23-15-00,0,0,0
2016-11-03-23-30-00,1,1,0
2016-11-03-23-45-00,1,1,0
2016-11-04-00-00-00,2,1,1
2016-11-04-00-15-00,0,0,0
2016-11-04-00-30-00,0,0,0
2016-11-04-00-45-00,0,0,0
2016-11-04-01-00-00,0,0,0
2016-11-04-01-15-00,0,0,0
2016-11-04-01-30-00,0,0,0
2016-11-04-01-45-00,0,0,0
2016-11-04-02-00-00,0,0,0
2016-11-04-02-15-00,0,0,0
2016-11-04-02-30-00,2,0,2
2016-11-04-02-45-00,0,0,0
2016-11-04-03-00-00,0,0,0
2016-11-04-03-15-00,0,0,0
2016-11-04-03-30-00,0,0,0
2016-11-04-03-45-00,0,0,0
2016-11-04-04-00-00,0,0,0
2016-11-04-04-15-00,0,0,0
2016-11-04-04-30-00,0,0,0
2016-11-04-04-45-00,0,0,0
2016-11-04-05-00-00,0,0,0
2016-11-04-05-15-00,0,0,0
2016-11-04-05-30-00,0,0,0
2016-11-04-05-45-00,6,3,3
2016-11-04-06-00-00,3,1,2
2016-11-04-06-15-00,4,3,1
2016-11-04-06-30-00,11,6,5
2016-11-04-06-45-00,7,2,5
2016-11-04-07-00-00,13,5,8
2016-11-04-07-15-00,24,7,17
2016-11-04-07-30-00,30,12,18
2016-11-04-07-45-00,42,7,35
2016-11-04-08-00-00,41,14,27
2016-11-04-08-15-00,48,15,33
2016-11-04-08-30-00,29,6,23
2016-11-04-08-45-00,22,1,21
2016-11-04-09-00-00,19,4,15
2016-11-04-09-15-00,12,7,5
2016-11-04-09-30-00,20,7,13
2016-11-04-09-45-00,13,7,6
2016-11-04-10-00-00,11,3,8
2016-11-04-10-15-00,10,6,4
2016-11-04-10-30-00,7,6,1
2016-11-04-10-45-00,7,3,4
2016-11-04-11-00-00,9,4,5
2016-11-04-11-15-00,15,9,6
2016-11-04-11-30-00,8,3,5
2016-11-04-11-45-00,13,6,7
2016-11-04-12-00-00,11,7,4
2016-11-04-12-15-00,14,8,6
2016-11-04-12-30-00,10,3,7
2016-11-04-12-45-00,8,6,2
2016-11-04-13-00-00,12,7,5
2016-11-04-13-15-00,13,5,8
2016-11-04-13-30-00,13,9,4
2016-11-04-13-45-00,22,14,8
2016-11-04-14-00-00,15,10,5
2016-11-04-14-15-00,16,9,7
2016-11-04-14-30-00,25,15,10
2016-11-04-14-45-00,15,9,6
2016-11-04-15-00-00,39,21,18
2016-11-04-15-15-00,30,22,8
2016-11-04-15-30-00,38,25,13
2016-11-04-15-45-00,34,15,19
2016-11-04-16-00-00,28,20,8
2016-11-04-16-15-00,38,26,12
2016-11-04-16-30-00,36,27,9
2016-11-04-16-45-00,32,23,9
2016-11-04-17-00-00,20,14,6
2016-11-04-17-15-00,23,20,3
2016-11-04-17-30-00,21,11,10
2016-11-04-17-45-00,21,14,7
2016-11-04-18-00-00,13,10,3
2016-11-04-18-15-00,11,5,6
2016-11-04-18-30-00,12,8,4
2016-11-04-18-45-00,3,0,3
2016-11-04-19-00-00,12,8,4
2016-11-04-19-15-00,3,3,0
2016-11-04-19-30-00,4,2,2
2016-11-04-19-45-00,4,1,3
2016-11-04-20-00-00,5,2,3
2016-11-04-20-15-00,6,4,2
2016-11-04-20-30-00,1,1,0
2016-11-04-20-45-00,0,0,0
2016-11-04-21-00-00,3,2,1
2016-11-04-21-15-00,2,1,1
2016-11-04-21-30-00,0,0,0
2016-11-04-21-45-00,0,0,0
2016-11-04-22-00-00,3,1,2
2016-11-04-22-15-00,2,1,1
2016-11-04-22-30-00,0,0,0
2016-11-04-22-45-00,1,0,1
2016-11-04-23-00-00,0,0,0
2016-11-04-23-15-00,1,0,1
2016-11-04-23-30-00,0,0,0
2016-11-04-23-45-00,6,5,1
2016-11-05-00-00-00,4,0,4
2016-11-05-00-15-00,1,1,0
2016-11-05-00-30-00,0,0,0
2016-11-05-00-45-00,0,0,0
2016-11-05-01-00-00,0,0,0
2016-11-05-01-15-00,1,1,0
2016-11-05-01-30-00,0,0,0
2016-11-05-01-45-00,0,0,0
2016-11-05-02-00-00,1,1,0
2016-11-05-02-15-00,1,1,0
2016-11-05-02-30-00,0,0,0
2016-11-05-02-45-00,1,0,1
2016-11-05-03-00-00,0,0,0
2016-11-05-03-15-00,0,0,0
2016-11-05-03-30-00,0,0,0
2016-11-05-03-45-00,0,0,0
2016-11-05-04-00-00,0,0,0
2016-11-05-04-15-00,0,0,0
2016-11-05-04-30-00,0,0,0
2016-11-05-04-45-00,1,0,1
2016-11-05-05-00-00,0,0,0
2016-11-05-05-15-00,0,0,0
2016-11-05-05-30-00,1,0,1
2016-11-05-05-45-00,0,0,0
2016-11-05-06-00-00,1,1,0
2016-11-05-06-15-00,1,1,0
2016-11-05-06-30-00,0,0,0
2016-11-05-06-45-00,1,0,1
2016-11-05-07-00-00,0,0,0
2016-11-05-07-15-00,3,0,3
2016-11-05-07-30-00,3,3,0
2016-11-05-07-45-00,1,1,0
2016-11-05-08-00-00,3,2,1
2016-11-05-08-15-00,5,3,2
2016-11-05-08-30-00,8,4,4
2016-11-05-08-45-00,5,3,2
2016-11-05-09-00-00,4,1,3
2016-11-05-09-15-00,11,8,3
2016-11-05-09-30-00,8,4,4
2016-11-05-09-45-00,11,7,4
2016-11-05-10-00-00,6,3,3
2016-11-05-10-15-00,11,9,2
2016-11-05-10-30-00,10,5,5
2016-11-05-10-45-00,10,5,5
2016-11-05-11-00-00,10,7,3
2016-11-05-11-15-00,13,8,5
2016-11-05-11-30-00,6,3,3
2016-11-05-11-45-00,17,8,9
2016-11-05-12-00-00,8,2,6
2016-11-05-12-15-00,21,9,12
2016-11-05-12-30-00,8,5,3
2016-11-05-12-45-00,10,7,3
2016-11-05-13-00-00,16,11,5
2016-11-05-13-15-00,8,5,3
2016-11-05-13-30-00,30,22,8
2016-11-05-13-45-00,26,18,8
2016-11-05-14-00-00,19,7,12
2016-11-05-14-15-00,10,4,6
2016-11-05-14-30-00,15,6,9
2016-11-05-14-45-00,28,15,13
2016-11-05-15-00-00,15,7,8
2016-11-05-15-15-00,21,13,8
2016-11-05-15-30-00,14,8,6
2016-11-05-15-45-00,23,13,10
2016-11-05-16-00-00,22,12,10
2016-11-05-16-15-00,24,11,13
2016-11-05-16-30-00,23,13,10
2016-11-05-16-45-00,18,9,9
2016-11-05-17-00-00,25,18,7
2016-11-05-17-15-00,23,18,5
2016-11-05-17-30-00,8,5,3
2016-11-05-17-45-00,6,2,4
2016-11-05-18-00-00,12,6,6
2016-11-05-18-15-00,4,4,0
2016-11-05-18-30-00,5,2,3
2016-11-05-18-45-00,2,1,1
2016-11-05-19-00-00,4,4,0
2016-11-05-19-15-00,1,1,0
2016-11-05-19-30-00,1,1,0
2016-11-05-19-45-00,3,1,2
2016-11-05-20-00-00,1,0,1
2016-11-05-20-15-00,1,1,0
2016-11-05-20-30-00,1,0,1
2016-11-05-20-45-00,0,0,0
2016-11-05-21-00-00,3,3,0
2016-11-05-21-15-00,4,1,3
2016-11-05-21-30-00,1,0,1
2016-11-05-21-45-00,4,4,0
2016-11-05-22-00-00,2,2,0
2016-11-05-22-15-00,0,0,0
2016-11-05-22-30-00,0,0,0
2016-11-05-22-45-00,1,1,0
2016-11-05-23-00-00,2,2,0
2016-11-05-23-15-00,1,1,0
2016-11-05-23-30-00,0,0,0
2016-11-05-23-45-00,0,0,0
2016-11-06-00-00-00,4,1,3
2016-11-06-00-15-00,4,0,4
2016-11-06-00-30-00,0,0,0
2016-11-06-00-45-00,0,0,0
2016-11-06-01-00-00,0,0,0
2016-11-06-01-15-00,1,0,1
2016-11-06-01-30-00,1,0,1
2016-11-06-01-45-00,2,1,1
2016-11-06-02-00-00,1,1,0
2016-11-06-02-15-00,0,0,0
2016-11-06-02-30-00,0,0,0
2016-11-06-02-45-00,2,2,0
2016-11-06-03-00-00,4,1,3
2016-11-06-03-15-00,1,1,0
2016-11-06-03-30-00,2,2,0
2016-11-06-03-45-00,0,0,0
2016-11-06-04-00-00,0,0,0
2016-11-06-04-15-00,1,1,0
2016-11-06-04-30-00,0,0,0
2016-11-06-04-45-00,0,0,0
2016-11-06-05-00-00,0,0,0
2016-11-06-05-15-00,1,0,1
2016-11-06-05-30-00,0,0,0
2016-11-06-05-45-00,0,0,0
2016-11-06-06-00-00,0,0,0
2016-11-06-06-15-00,0,0,0
2016-11-06-06-30-00,0,0,0
2016-11-06-06-45-00,0,0,0
2016-11-06-07-00-00,3,2,1
2016-11-06-07-15-00,0,0,0
2016-11-06-07-30-00,2,1,1
2016-11-06-07-45-00,2,0,2
2016-11-06-08-00-00,3,1,2
2016-11-06-08-15-00,5,3,2
2016-11-06-08-30-00,9,5,4
2016-11-06-08-45-00,8,4,4
2016-11-06-09-00-00,10,3,7
2016-11-06-09-15-00,10,7,3
2016-11-06-09-30-00,18,8,10
2016-11-06-09-45-00,8,4,4
2016-11-06-10-00-00,18,12,6
2016-11-06-10-15-00,31,13,18
2016-11-06-10-30-00,27,10,17
2016-11-06-10-45-00,26,8,18
2016-11-06-11-00-00,28,17,11
2016-11-06-11-15-00,30,9,21
2016-11-06-11-30-00,19,7,12
2016-11-06-11-45-00,22,13,9
2016-11-06-12-00-00,23,11,12
2016-11-06-12-15-00,21,10,11
2016-11-06-12-30-00,16,9,7
2016-11-06-12-45-00,19,10,9
2016-11-06-13-00-00,42,25,17
2016-11-06-13-15-00,46,19,27
2016-11-06-13-30-00,30,21,9
2016-11-06-13-45-00,20,9,11
2016-11-06-14-00-00,24,17,7
2016-11-06-14-15-00,28,13,15
2016-11-06-14-30-00,17,8,9
2016-11-06-14-45-00,40,25,15
2016-11-06-15-00-00,33,19,14
2016-11-06-15-15-00,34,15,19
2016-11-06-15-30-00,29,19,10
2016-11-06-15-45-00,33,23,10
2016-11-06-16-00-00,27,18,9
2016-11-06-16-15-00,20,13,7
2016-11-06-16-30-00,21,18,3
2016-11-06-16-45-00,30,21,9
2016-11-06-17-00-00,15,7,8
2016-11-06-17-15-00,13,8,5
2016-11-06-17-30-00,5,4,1
2016-11-06-17-45-00,6,3,3
2016-11-06-18-00-00,8,3,5
2016-11-06-18-15-00,5,3,2
2016-11-06-18-30-00,1,1,0
2016-11-06-18-45-00,1,0,1
2016-11-06-19-00-00,3,1,2
2016-11-06-19-15-00,3,3,0
2016-11-06-19-30-00,0,0,0
2016-11-06-19-45-00,1,0,1
2016-11-06-20-00-00,0,0,0
2016-11-06-20-15-00,2,0,2
2016-11-06-20-30-00,0,0,0
2016-11-06-20-45-00,0,0,0
2016-11-06-21-00-00,0,0,0
2016-11-06-21-15-00,0,0,0
2016-11-06-21-30-00,1,0,1
2016-11-06-21-45-00,0,0,0
2016-11-06-22-00-00,0,0,0
2016-11-06-22-15-00,0,0,0
2016-11-06-22-30-00,1,0,1
2016-11-06-22-45-00,0,0,0
2016-11-06-23-00-00,0,0,0
2016-11-06-23-15-00,0,0,0
2016-11-06-23-30-00,1,1,0
2016-11-06-23-45-00,2,2,0
2016-11-07-00-00-00,0,0,0
2016-11-07-00-15-00,0,0,0
2016-11-07-00-30-00,0,0,0
2016-11-07-00-45-00,0,0,0
2016-11-07-01-00-00,0,0,0
2016-11-07-01-15-00,0,0,0
2016-11-07-01-30-00,0,0,0
2016-11-07-01-45-00,0,0,0
2016-11-07-02-00-00,0,0,0
2016-11-07-02-15-00,0,0,0
2016-11-07-02-30-00,0,0,0
2016-11-07-02-45-00,0,0,0
2016-11-07-03-00-00,0,0,0
2016-11-07-03-15-00,0,0,0
2016-11-07-03-30-00,0,0,0
2016-11-07-03-45-00,0,0,0
2016-11-07-04-00-00,0,0,0
2016-11-07-04-15-00,0,0,0
2016-11-07-04-30-00,0,0,0
2016-11-07-04-45-00,0,0,0
2016-11-07-05-00-00,0,0,0
2016-11-07-05-15-00,0,0,0
2016-11-07-05-30-00,4,2,2
2016-11-07-05-45-00,2,1,1
2016-11-07-06-00-00,7,2,5
2016-11-07-06-15-00,3,0,3
2016-11-07-06-30-00,5,0,5
2016-11-07-06-45-00,7,3,4
2016-11-07-07-00-00,8,3,5
2016-11-07-07-15-00,19,7,12
2016-11-07-07-30-00,24,9,15
2016-11-07-07-45-00,29,7,22
2016-11-07-08-00-00,27,6,21
2016-11-07-08-15-00,25,3,22
2016-11-07-08-30-00,24,6,18
2016-11-07-08-45-00,25,5,20
2016-11-07-09-00-00,12,3,9
2016-11-07-09-15-00,8,1,7
2016-11-07-09-30-00,8,6,2
2016-11-07-09-45-00,8,2,6
2016-11-07-10-00-00,6,2,4
2016-11-07-10-15-00,2,1,1
2016-11-07-10-30-00,2,2,0
2016-11-07-10-45-00,4,1,3
2016-11-07-11-00-00,3,3,0
2016-11-07-11-15-00,3,1,2
2016-11-07-11-30-00,4,3,1
2016-11-07-11-45-00,3,3,0
2016-11-07-12-00-00,1,0,1
2016-11-07-12-15-00,1,0,1
2016-11-07-12-30-00,3,1,2
2016-11-07-12-45-00,3,2,1
2016-11-07-13-00-00,3,0,3
2016-11-07-13-15-00,8,4,4
2016-11-07-13-30-00,1,1,0
2016-11-07-13-45-00,3,2,1
2016-11-07-14-00-00,4,3,1
2016-11-07-14-15-00,6,4,2
2016-11-07-14-30-00,3,1,2
2016-11-07-14-45-00,3,2,1
2016-11-07-15-00-00,8,6,2
2016-11-07-15-15-00,6,2,4
2016-11-07-15-30-00,6,4,2
2016-11-07-15-45-00,5,4,1
2016-11-07-16-00-00,8,4,4
2016-11-07-16-15-00,12,10,2
2016-11-07-16-30-00,13,10,3
2016-11-07-16-45-00,20,19,1
2016-11-07-17-00-00,22,17,5
2016-11-07-17-15-00,21,17,4
2016-11-07-17-30-00,18,12,6
2016-11-07-17-45-00,16,12,4
2016-11-07-18-00-00,20,14,6
2016-11-07-18-15-00,22,15,7
2016-11-07-18-30-00,12,11,1
2016-11-07-18-45-00,5,3,2
2016-11-07-19-00-00,14,10,4
2016-11-07-19-15-00,5,3,2
2016-11-07-19-30-00,4,3,1
