 ,5.09 BN - Rhenusallee ,5.09 BN - Rhenusallee Radfahrer Ri. Beuel ,5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel
2015-05-18-11-15-00,26,17,9
2015-05-18-11-30-00,27,10,17
2015-05-18-11-45-00,27,16,11
2015-05-18-12-00-00,25,14,11
2015-05-18-12-15-00,24,15,9
2015-05-18-12-30-00,33,16,17
2015-05-18-12-45-00,25,12,13
2015-05-18-13-00-00,31,16,15
2015-05-18-13-15-00,24,9,15
2015-05-18-13-30-00,21,14,7
2015-05-18-13-45-00,32,13,19
2015-05-18-14-00-00,30,17,13
2015-05-18-14-15-00,23,18,5
2015-05-18-14-30-00,28,12,16
2015-05-18-14-45-00,41,24,17
2015-05-18-15-00-00,39,23,16
2015-05-18-15-15-00,47,26,21
2015-05-18-15-30-00,43,25,18
2015-05-18-15-45-00,32,21,11
2015-05-18-16-00-00,48,31,17
2015-05-18-16-15-00,50,26,24
2015-05-18-16-30-00,80,62,18
2015-05-18-16-45-00,80,54,26
2015-05-18-17-00-00,77,51,26
2015-05-18-17-15-00,67,47,20
2015-05-18-17-30-00,64,34,30
2015-05-18-17-45-00,77,46,31
2015-05-18-18-00-00,81,50,31
2015-05-18-18-15-00,71,47,24
2015-05-18-18-30-00,70,40,30
2015-05-18-18-45-00,52,31,21
2015-05-18-19-00-00,45,25,20
2015-05-18-19-15-00,38,23,15
2015-05-18-19-30-00,26,16,10
2015-05-18-19-45-00,38,24,14
2015-05-18-20-00-00,29,20,9
2015-05-18-20-15-00,20,6,14
2015-05-18-20-30-00,29,22,7
2015-05-18-20-45-00,14,8,6
2015-05-18-21-00-00,15,10,5
2015-05-18-21-15-00,8,6,2
2015-05-18-21-30-00,6,2,4
2015-05-18-21-45-00,9,4,5
2015-05-18-22-00-00,3,1,2
2015-05-18-22-15-00,1,1,0
2015-05-18-22-30-00,4,0,4
2015-05-18-22-45-00,3,1,2
2015-05-18-23-00-00,1,0,1
2015-05-18-23-15-00,1,1,0
2015-05-18-23-30-00,1,0,1
2015-05-18-23-45-00,3,3,0
2015-05-19-00-00-00,0,0,0
2015-05-19-00-15-00,0,0,0
2015-05-19-00-30-00,0,0,0
2015-05-19-00-45-00,0,0,0
2015-05-19-01-00-00,0,0,0
2015-05-19-01-15-00,0,0,0
2015-05-19-01-30-00,2,0,2
2015-05-19-01-45-00,1,0,1
2015-05-19-02-00-00,0,0,0
2015-05-19-02-15-00,0,0,0
2015-05-19-02-30-00,0,0,0
2015-05-19-02-45-00,0,0,0
2015-05-19-03-00-00,1,1,0
2015-05-19-03-15-00,0,0,0
2015-05-19-03-30-00,0,0,0
2015-05-19-03-45-00,1,1,0
2015-05-19-04-00-00,0,0,0
2015-05-19-04-15-00,0,0,0
2015-05-19-04-30-00,0,0,0
2015-05-19-04-45-00,0,0,0
2015-05-19-05-00-00,0,0,0
2015-05-19-05-15-00,0,0,0
2015-05-19-05-30-00,0,0,0
2015-05-19-05-45-00,5,2,3
2015-05-19-06-00-00,10,6,4
2015-05-19-06-15-00,11,3,8
2015-05-19-06-30-00,10,3,7
2015-05-19-06-45-00,22,10,12
2015-05-19-07-00-00,19,7,12
2015-05-19-07-15-00,33,7,26
2015-05-19-07-30-00,56,21,35
2015-05-19-07-45-00,51,18,33
2015-05-19-08-00-00,55,15,40
2015-05-19-08-15-00,44,7,37
2015-05-19-08-30-00,55,13,42
2015-05-19-08-45-00,45,3,42
2015-05-19-09-00-00,32,11,21
2015-05-19-09-15-00,20,8,12
2015-05-19-09-30-00,15,8,7
2015-05-19-09-45-00,12,6,6
2015-05-19-10-00-00,12,6,6
2015-05-19-10-15-00,11,4,7
2015-05-19-10-30-00,8,4,4
2015-05-19-10-45-00,12,2,10
2015-05-19-11-00-00,16,13,3
2015-05-19-11-15-00,10,3,7
2015-05-19-11-30-00,14,8,6
2015-05-19-11-45-00,16,6,10
2015-05-19-12-00-00,19,8,11
2015-05-19-12-15-00,11,3,8
2015-05-19-12-30-00,14,8,6
2015-05-19-12-45-00,19,8,11
2015-05-19-13-00-00,24,14,10
2015-05-19-13-15-00,29,17,12
2015-05-19-13-30-00,21,10,11
2015-05-19-13-45-00,18,8,10
2015-05-19-14-00-00,16,7,9
2015-05-19-14-15-00,18,10,8
2015-05-19-14-30-00,21,13,8
2015-05-19-14-45-00,23,17,6
2015-05-19-15-00-00,31,15,16
2015-05-19-15-15-00,31,23,8
2015-05-19-15-30-00,28,20,8
2015-05-19-15-45-00,31,13,18
2015-05-19-16-00-00,31,16,15
2015-05-19-16-15-00,44,33,11
2015-05-19-16-30-00,47,29,18
2015-05-19-16-45-00,48,36,12
2015-05-19-17-00-00,44,30,14
2015-05-19-17-15-00,35,25,10
2015-05-19-17-30-00,48,37,11
2015-05-19-17-45-00,49,32,17
2015-05-19-18-00-00,47,31,16
2015-05-19-18-15-00,32,22,10
2015-05-19-18-30-00,37,22,15
2015-05-19-18-45-00,31,20,11
2015-05-19-19-00-00,32,19,13
2015-05-19-19-15-00,34,22,12
2015-05-19-19-30-00,24,8,16
2015-05-19-19-45-00,22,11,11
2015-05-19-20-00-00,18,8,10
2015-05-19-20-15-00,17,8,9
2015-05-19-20-30-00,11,7,4
2015-05-19-20-45-00,12,9,3
2015-05-19-21-00-00,12,10,2
2015-05-19-21-15-00,6,4,2
2015-05-19-21-30-00,7,5,2
2015-05-19-21-45-00,6,5,1
2015-05-19-22-00-00,2,0,2
2015-05-19-22-15-00,1,0,1
2015-05-19-22-30-00,5,3,2
2015-05-19-22-45-00,2,1,1
2015-05-19-23-00-00,2,0,2
2015-05-19-23-15-00,3,3,0
2015-05-19-23-30-00,1,0,1
2015-05-19-23-45-00,0,0,0
2015-05-20-00-00-00,0,0,0
2015-05-20-00-15-00,0,0,0
2015-05-20-00-30-00,2,2,0
2015-05-20-00-45-00,0,0,0
2015-05-20-01-00-00,0,0,0
2015-05-20-01-15-00,0,0,0
2015-05-20-01-30-00,1,1,0
2015-05-20-01-45-00,0,0,0
2015-05-20-02-00-00,0,0,0
2015-05-20-02-15-00,1,0,1
2015-05-20-02-30-00,0,0,0
2015-05-20-02-45-00,0,0,0
2015-05-20-03-00-00,0,0,0
2015-05-20-03-15-00,0,0,0
2015-05-20-03-30-00,0,0,0
2015-05-20-03-45-00,0,0,0
2015-05-20-04-00-00,0,0,0
2015-05-20-04-15-00,1,0,1
2015-05-20-04-30-00,2,0,2
2015-05-20-04-45-00,0,0,0
2015-05-20-05-00-00,3,1,2
2015-05-20-05-15-00,2,1,1
2015-05-20-05-30-00,1,0,1
2015-05-20-05-45-00,3,0,3
2015-05-20-06-00-00,6,2,4
2015-05-20-06-15-00,10,1,9
2015-05-20-06-30-00,12,8,4
2015-05-20-06-45-00,16,8,8
2015-05-20-07-00-00,20,10,10
2015-05-20-07-15-00,33,12,21
2015-05-20-07-30-00,49,22,27
2015-05-20-07-45-00,46,8,38
2015-05-20-08-00-00,46,11,35
2015-05-20-08-15-00,44,8,36
