 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2016-12-23-04-45-00;2;0;2
2016-12-23-05-00-00;3;2;1
2016-12-23-05-15-00;2;0;2
2016-12-23-05-30-00;7;2;5
2016-12-23-05-45-00;4;3;1
2016-12-23-06-00-00;8;3;5
2016-12-23-06-15-00;11;5;6
2016-12-23-06-30-00;17;6;11
2016-12-23-06-45-00;17;9;8
2016-12-23-07-00-00;14;6;8
2016-12-23-07-15-00;20;9;11
2016-12-23-07-30-00;28;12;16
2016-12-23-07-45-00;37;21;16
2016-12-23-08-00-00;29;19;10
2016-12-23-08-15-00;28;20;8
2016-12-23-08-30-00;20;9;11
2016-12-23-08-45-00;35;12;23
2016-12-23-09-00-00;25;16;9
2016-12-23-09-15-00;25;17;8
2016-12-23-09-30-00;32;16;16
2016-12-23-09-45-00;27;20;7
2016-12-23-10-00-00;33;17;16
2016-12-23-10-15-00;38;16;22
2016-12-23-10-30-00;41;16;25
2016-12-23-10-45-00;34;13;21
2016-12-23-11-00-00;41;22;19
2016-12-23-11-15-00;44;18;26
2016-12-23-11-30-00;52;17;35
2016-12-23-11-45-00;59;19;40
2016-12-23-12-00-00;60;23;37
2016-12-23-12-15-00;78;23;55
2016-12-23-12-30-00;71;16;55
2016-12-23-12-45-00;66;16;50
2016-12-23-13-00-00;77;28;49
2016-12-23-13-15-00;80;17;63
2016-12-23-13-30-00;71;18;53
2016-12-23-13-45-00;69;19;50
2016-12-23-14-00-00;63;10;53
2016-12-23-14-15-00;62;15;47
2016-12-23-14-30-00;65;16;49
2016-12-23-14-45-00;82;24;58
2016-12-23-15-00-00;68;15;53
2016-12-23-15-15-00;87;19;68
2016-12-23-15-30-00;79;22;57
2016-12-23-15-45-00;83;27;56
2016-12-23-16-00-00;78;15;63
2016-12-23-16-15-00;77;29;48
2016-12-23-16-30-00;79;23;56
2016-12-23-16-45-00;73;19;54
2016-12-23-17-00-00;103;21;82
2016-12-23-17-15-00;77;22;55
2016-12-23-17-30-00;72;13;59
2016-12-23-17-45-00;62;17;45
2016-12-23-18-00-00;61;19;42
2016-12-23-18-15-00;37;4;33
2016-12-23-18-30-00;51;15;36
2016-12-23-18-45-00;43;14;29
2016-12-23-19-00-00;56;26;30
2016-12-23-19-15-00;40;14;26
2016-12-23-19-30-00;43;10;33
2016-12-23-19-45-00;37;9;28
2016-12-23-20-00-00;42;8;34
2016-12-23-20-15-00;36;2;34
2016-12-23-20-30-00;26;5;21
2016-12-23-20-45-00;22;2;20
2016-12-23-21-00-00;21;8;13
2016-12-23-21-15-00;20;6;14
2016-12-23-21-30-00;17;6;11
2016-12-23-21-45-00;12;3;9
2016-12-23-22-00-00;23;3;20
2016-12-23-22-15-00;17;3;14
2016-12-23-22-30-00;17;1;16
2016-12-23-22-45-00;18;3;15
2016-12-23-23-00-00;17;0;17
2016-12-23-23-15-00;18;2;16
2016-12-23-23-30-00;10;3;7
2016-12-23-23-45-00;17;2;15
2016-12-24-00-00-00;17;0;17
2016-12-24-00-15-00;10;1;9
2016-12-24-00-30-00;10;0;10
2016-12-24-00-45-00;4;0;4
2016-12-24-01-00-00;10;0;10
2016-12-24-01-15-00;10;1;9
2016-12-24-01-30-00;10;3;7
2016-12-24-01-45-00;8;0;8
2016-12-24-02-00-00;5;2;3
2016-12-24-02-15-00;4;0;4
2016-12-24-02-30-00;11;1;10
2016-12-24-02-45-00;3;1;2
2016-12-24-03-00-00;5;1;4
2016-12-24-03-15-00;1;0;1
2016-12-24-03-30-00;12;1;11
2016-12-24-03-45-00;5;0;5
2016-12-24-04-00-00;2;1;1
2016-12-24-04-15-00;6;1;5
2016-12-24-04-30-00;2;0;2
2016-12-24-04-45-00;4;0;4
2016-12-24-05-00-00;0;0;0
2016-12-24-05-15-00;0;0;0
2016-12-24-05-30-00;2;1;1
2016-12-24-05-45-00;1;0;1
2016-12-24-06-00-00;1;0;1
2016-12-24-06-15-00;3;1;2
2016-12-24-06-30-00;4;4;0
2016-12-24-06-45-00;3;0;3
2016-12-24-07-00-00;1;1;0
2016-12-24-07-15-00;4;0;4
2016-12-24-07-30-00;9;4;5
2016-12-24-07-45-00;9;4;5
2016-12-24-08-00-00;2;1;1
2016-12-24-08-15-00;7;5;2
2016-12-24-08-30-00;10;7;3
2016-12-24-08-45-00;11;5;6
2016-12-24-09-00-00;10;5;5
2016-12-24-09-15-00;7;3;4
2016-12-24-09-30-00;20;8;12
2016-12-24-09-45-00;20;3;17
2016-12-24-10-00-00;21;10;11
2016-12-24-10-15-00;41;19;22
2016-12-24-10-30-00;35;14;21
2016-12-24-10-45-00;38;16;22
2016-12-24-11-00-00;44;19;25
2016-12-24-11-15-00;40;16;24
2016-12-24-11-30-00;50;19;31
2016-12-24-11-45-00;38;9;29
2016-12-24-12-00-00;33;16;17
2016-12-24-12-15-00;27;6;21
2016-12-24-12-30-00;29;4;25
2016-12-24-12-45-00;37;8;29
2016-12-24-13-00-00;33;9;24
2016-12-24-13-15-00;48;6;42
2016-12-24-13-30-00;37;11;26
2016-12-24-13-45-00;21;3;18
2016-12-24-14-00-00;17;3;14
2016-12-24-14-15-00;34;8;26
2016-12-24-14-30-00;28;8;20
2016-12-24-14-45-00;12;4;8
2016-12-24-15-00-00;13;8;5
2016-12-24-15-15-00;11;1;10
2016-12-24-15-30-00;14;2;12
2016-12-24-15-45-00;10;3;7
2016-12-24-16-00-00;9;4;5
2016-12-24-16-15-00;15;3;12
2016-12-24-16-30-00;9;1;8
2016-12-24-16-45-00;19;9;10
2016-12-24-17-00-00;17;3;14
2016-12-24-17-15-00;12;3;9
2016-12-24-17-30-00;2;2;0
2016-12-24-17-45-00;6;0;6
2016-12-24-18-00-00;3;2;1
2016-12-24-18-15-00;10;0;10
2016-12-24-18-30-00;10;3;7
2016-12-24-18-45-00;8;2;6
2016-12-24-19-00-00;2;1;1
2016-12-24-19-15-00;5;0;5
2016-12-24-19-30-00;2;0;2
2016-12-24-19-45-00;7;2;5
2016-12-24-20-00-00;7;4;3
2016-12-24-20-15-00;4;2;2
2016-12-24-20-30-00;7;4;3
2016-12-24-20-45-00;5;1;4
2016-12-24-21-00-00;5;2;3
2016-12-24-21-15-00;6;5;1
2016-12-24-21-30-00;1;0;1
2016-12-24-21-45-00;8;1;7
2016-12-24-22-00-00;5;3;2
2016-12-24-22-15-00;5;2;3
2016-12-24-22-30-00;4;0;4
2016-12-24-22-45-00;3;0;3
2016-12-24-23-00-00;2;2;0
2016-12-24-23-15-00;5;2;3
2016-12-24-23-30-00;6;3;3
2016-12-24-23-45-00;9;3;6
2016-12-25-00-00-00;5;1;4
2016-12-25-00-15-00;6;1;5
2016-12-25-00-30-00;9;1;8
2016-12-25-00-45-00;0;0;0
2016-12-25-01-00-00;5;1;4
2016-12-25-01-15-00;4;1;3
2016-12-25-01-30-00;4;1;3
2016-12-25-01-45-00;2;0;2
2016-12-25-02-00-00;3;0;3
2016-12-25-02-15-00;2;0;2
2016-12-25-02-30-00;2;1;1
2016-12-25-02-45-00;0;0;0
2016-12-25-03-00-00;1;0;1
2016-12-25-03-15-00;1;0;1
2016-12-25-03-30-00;0;0;0
2016-12-25-03-45-00;0;0;0
2016-12-25-04-00-00;1;0;1
2016-12-25-04-15-00;0;0;0
2016-12-25-04-30-00;0;0;0
2016-12-25-04-45-00;3;0;3
2016-12-25-05-00-00;2;0;2
2016-12-25-05-15-00;2;0;2
2016-12-25-05-30-00;0;0;0
2016-12-25-05-45-00;2;0;2
2016-12-25-06-00-00;0;0;0
2016-12-25-06-15-00;2;0;2
2016-12-25-06-30-00;0;0;0
2016-12-25-06-45-00;0;0;0
2016-12-25-07-00-00;3;0;3
2016-12-25-07-15-00;2;1;1
2016-12-25-07-30-00;1;1;0
2016-12-25-07-45-00;1;0;1
2016-12-25-08-00-00;2;1;1
2016-12-25-08-15-00;3;1;2
2016-12-25-08-30-00;3;0;3
2016-12-25-08-45-00;3;2;1
2016-12-25-09-00-00;3;1;2
2016-12-25-09-15-00;2;0;2
2016-12-25-09-30-00;3;0;3
2016-12-25-09-45-00;4;3;1
2016-12-25-10-00-00;4;1;3
2016-12-25-10-15-00;7;3;4
2016-12-25-10-30-00;2;0;2
2016-12-25-10-45-00;10;4;6
2016-12-25-11-00-00;8;2;6
2016-12-25-11-15-00;7;2;5
2016-12-25-11-30-00;11;2;9
2016-12-25-11-45-00;10;1;9
2016-12-25-12-00-00;8;3;5
2016-12-25-12-15-00;13;4;9
2016-12-25-12-30-00;11;3;8
2016-12-25-12-45-00;11;4;7
2016-12-25-13-00-00;13;0;13
2016-12-25-13-15-00;16;6;10
2016-12-25-13-30-00;11;2;9
2016-12-25-13-45-00;15;3;12
2016-12-25-14-00-00;12;3;9
2016-12-25-14-15-00;9;1;8
2016-12-25-14-30-00;9;2;7
2016-12-25-14-45-00;15;6;9
2016-12-25-15-00-00;15;5;10
2016-12-25-15-15-00;9;2;7
2016-12-25-15-30-00;16;6;10
2016-12-25-15-45-00;12;2;10
2016-12-25-16-00-00;15;5;10
2016-12-25-16-15-00;7;1;6
2016-12-25-16-30-00;9;0;9
2016-12-25-16-45-00;12;8;4
2016-12-25-17-00-00;15;2;13
2016-12-25-17-15-00;18;6;12
2016-12-25-17-30-00;9;1;8
2016-12-25-17-45-00;7;2;5
2016-12-25-18-00-00;11;3;8
2016-12-25-18-15-00;5;1;4
2016-12-25-18-30-00;5;2;3
2016-12-25-18-45-00;11;5;6
2016-12-25-19-00-00;5;2;3
2016-12-25-19-15-00;19;3;16
2016-12-25-19-30-00;11;3;8
2016-12-25-19-45-00;9;1;8
2016-12-25-20-00-00;6;2;4
2016-12-25-20-15-00;1;0;1
2016-12-25-20-30-00;7;1;6
2016-12-25-20-45-00;8;3;5
2016-12-25-21-00-00;9;4;5
2016-12-25-21-15-00;8;4;4
2016-12-25-21-30-00;2;0;2
2016-12-25-21-45-00;8;1;7
2016-12-25-22-00-00;11;0;11
2016-12-25-22-15-00;6;3;3
2016-12-25-22-30-00;7;1;6
2016-12-25-22-45-00;5;3;2
2016-12-25-23-00-00;3;1;2
2016-12-25-23-15-00;4;0;4
2016-12-25-23-30-00;4;1;3
2016-12-25-23-45-00;2;1;1
2016-12-26-00-00-00;5;2;3
2016-12-26-00-15-00;4;2;2
2016-12-26-00-30-00;6;2;4
2016-12-26-00-45-00;1;1;0
2016-12-26-01-00-00;3;1;2
2016-12-26-01-15-00;2;0;2
2016-12-26-01-30-00;4;1;3
2016-12-26-01-45-00;4;1;3
2016-12-26-02-00-00;1;0;1
2016-12-26-02-15-00;3;0;3
2016-12-26-02-30-00;0;0;0
2016-12-26-02-45-00;0;0;0
2016-12-26-03-00-00;3;0;3
2016-12-26-03-15-00;3;2;1
2016-12-26-03-30-00;3;0;3
2016-12-26-03-45-00;1;0;1
2016-12-26-04-00-00;0;0;0
2016-12-26-04-15-00;1;0;1
2016-12-26-04-30-00;1;1;0
2016-12-26-04-45-00;0;0;0
2016-12-26-05-00-00;0;0;0
2016-12-26-05-15-00;2;0;2
2016-12-26-05-30-00;1;0;1
2016-12-26-05-45-00;1;0;1
2016-12-26-06-00-00;1;1;0
2016-12-26-06-15-00;3;2;1
2016-12-26-06-30-00;1;0;1
2016-12-26-06-45-00;0;0;0
2016-12-26-07-00-00;0;0;0
2016-12-26-07-15-00;1;1;0
2016-12-26-07-30-00;0;0;0
2016-12-26-07-45-00;5;2;3
2016-12-26-08-00-00;1;0;1
2016-12-26-08-15-00;1;0;1
2016-12-26-08-30-00;5;2;3
2016-12-26-08-45-00;5;1;4
2016-12-26-09-00-00;9;4;5
2016-12-26-09-15-00;10;4;6
2016-12-26-09-30-00;3;1;2
2016-12-26-09-45-00;6;3;3
2016-12-26-10-00-00;9;2;7
2016-12-26-10-15-00;9;4;5
2016-12-26-10-30-00;11;2;9
2016-12-26-10-45-00;11;7;4
2016-12-26-11-00-00;12;2;10
2016-12-26-11-15-00;10;2;8
2016-12-26-11-30-00;7;1;6
2016-12-26-11-45-00;6;1;5
2016-12-26-12-00-00;4;3;1
2016-12-26-12-15-00;6;0;6
2016-12-26-12-30-00;6;1;5
2016-12-26-12-45-00;10;2;8
2016-12-26-13-00-00;3;1;2
2016-12-26-13-15-00;2;0;2
2016-12-26-13-30-00;15;7;8
2016-12-26-13-45-00;7;1;6
2016-12-26-14-00-00;17;4;13
2016-12-26-14-15-00;18;7;11
2016-12-26-14-30-00;24;3;21
2016-12-26-14-45-00;9;4;5
2016-12-26-15-00-00;14;8;6
2016-12-26-15-15-00;16;6;10
2016-12-26-15-30-00;12;3;9
2016-12-26-15-45-00;20;4;16
2016-12-26-16-00-00;18;2;16
2016-12-26-16-15-00;10;0;10
2016-12-26-16-30-00;8;3;5
2016-12-26-16-45-00;15;4;11
2016-12-26-17-00-00;16;3;13
2016-12-26-17-15-00;13;7;6
2016-12-26-17-30-00;23;14;9
2016-12-26-17-45-00;21;10;11
2016-12-26-18-00-00;8;1;7
2016-12-26-18-15-00;16;3;13
2016-12-26-18-30-00;11;1;10
2016-12-26-18-45-00;9;3;6
2016-12-26-19-00-00;13;4;9
2016-12-26-19-15-00;17;7;10
2016-12-26-19-30-00;16;4;12
2016-12-26-19-45-00;14;3;11
2016-12-26-20-00-00;17;4;13
2016-12-26-20-15-00;25;11;14
2016-12-26-20-30-00;9;3;6
2016-12-26-20-45-00;8;1;7
2016-12-26-21-00-00;4;0;4
2016-12-26-21-15-00;14;1;13
2016-12-26-21-30-00;9;1;8
2016-12-26-21-45-00;6;3;3
2016-12-26-22-00-00;3;1;2
2016-12-26-22-15-00;4;1;3
2016-12-26-22-30-00;6;2;4
2016-12-26-22-45-00;6;2;4
2016-12-26-23-00-00;3;2;1
2016-12-26-23-15-00;7;2;5
2016-12-26-23-30-00;3;3;0
2016-12-26-23-45-00;4;1;3
2016-12-27-00-00-00;4;1;3
2016-12-27-00-15-00;1;1;0
2016-12-27-00-30-00;2;2;0
2016-12-27-00-45-00;2;1;1
2016-12-27-01-00-00;3;2;1
2016-12-27-01-15-00;0;0;0
2016-12-27-01-30-00;4;0;4
2016-12-27-01-45-00;1;1;0
2016-12-27-02-00-00;1;0;1
2016-12-27-02-15-00;2;0;2
2016-12-27-02-30-00;5;1;4
2016-12-27-02-45-00;0;0;0
2016-12-27-03-00-00;1;0;1
2016-12-27-03-15-00;2;0;2
2016-12-27-03-30-00;0;0;0
2016-12-27-03-45-00;0;0;0
2016-12-27-04-00-00;1;0;1
2016-12-27-04-15-00;0;0;0
2016-12-27-04-30-00;5;3;2
2016-12-27-04-45-00;2;2;0
2016-12-27-05-00-00;3;0;3
2016-12-27-05-15-00;3;2;1
2016-12-27-05-30-00;4;1;3
2016-12-27-05-45-00;2;1;1
2016-12-27-06-00-00;7;2;5
2016-12-27-06-15-00;0;0;0
2016-12-27-06-30-00;11;7;4
2016-12-27-06-45-00;8;3;5
2016-12-27-07-00-00;9;4;5
2016-12-27-07-15-00;16;8;8
2016-12-27-07-30-00;21;15;6
2016-12-27-07-45-00;23;12;11
2016-12-27-08-00-00;17;6;11
2016-12-27-08-15-00;15;12;3
2016-12-27-08-30-00;22;12;10
2016-12-27-08-45-00;43;17;26
2016-12-27-09-00-00;10;6;4
2016-12-27-09-15-00;20;11;9
2016-12-27-09-30-00;19;12;7
2016-12-27-09-45-00;28;17;11
2016-12-27-10-00-00;19;8;11
2016-12-27-10-15-00;23;6;17
2016-12-27-10-30-00;38;19;19
2016-12-27-10-45-00;31;16;15
2016-12-27-11-00-00;27;10;17
2016-12-27-11-15-00;32;17;15
2016-12-27-11-30-00;38;14;24
2016-12-27-11-45-00;34;13;21
2016-12-27-12-00-00;38;15;23
2016-12-27-12-15-00;40;13;27
2016-12-27-12-30-00;43;12;31
2016-12-27-12-45-00;28;9;19
2016-12-27-13-00-00;54;14;40
2016-12-27-13-15-00;50;18;32
2016-12-27-13-30-00;43;15;28
2016-12-27-13-45-00;44;12;32
2016-12-27-14-00-00;56;13;43
2016-12-27-14-15-00;43;15;28
2016-12-27-14-30-00;44;8;36
2016-12-27-14-45-00;66;16;50
2016-12-27-15-00-00;64;20;44
2016-12-27-15-15-00;71;18;53
2016-12-27-15-30-00;61;14;47
2016-12-27-15-45-00;62;10;52
2016-12-27-16-00-00;51;15;36
2016-12-27-16-15-00;79;15;64
2016-12-27-16-30-00;62;14;48
2016-12-27-16-45-00;92;24;68
2016-12-27-17-00-00;57;7;50
2016-12-27-17-15-00;52;11;41
2016-12-27-17-30-00;58;13;45
2016-12-27-17-45-00;37;9;28
2016-12-27-18-00-00;60;13;47
2016-12-27-18-15-00;46;8;38
2016-12-27-18-30-00;53;9;44
2016-12-27-18-45-00;34;9;25
2016-12-27-19-00-00;37;7;30
2016-12-27-19-15-00;34;3;31
2016-12-27-19-30-00;20;3;17
2016-12-27-19-45-00;33;14;19
2016-12-27-20-00-00;18;1;17
2016-12-27-20-15-00;24;6;18
2016-12-27-20-30-00;15;2;13
2016-12-27-20-45-00;11;4;7
2016-12-27-21-00-00;16;1;15
2016-12-27-21-15-00;15;2;13
2016-12-27-21-30-00;12;9;3
2016-12-27-21-45-00;12;1;11
2016-12-27-22-00-00;8;5;3
2016-12-27-22-15-00;11;1;10
2016-12-27-22-30-00;7;0;7
2016-12-27-22-45-00;13;1;12
2016-12-27-23-00-00;6;0;6
2016-12-27-23-15-00;4;0;4
2016-12-27-23-30-00;11;3;8
2016-12-27-23-45-00;6;0;6
2016-12-28-00-00-00;2;0;2
2016-12-28-00-15-00;9;1;8
2016-12-28-00-30-00;4;1;3
2016-12-28-00-45-00;1;0;1
2016-12-28-01-00-00;3;0;3
2016-12-28-01-15-00;9;2;7
2016-12-28-01-30-00;8;1;7
2016-12-28-01-45-00;1;0;1
2016-12-28-02-00-00;3;0;3
2016-12-28-02-15-00;0;0;0
2016-12-28-02-30-00;2;1;1
2016-12-28-02-45-00;0;0;0
2016-12-28-03-00-00;0;0;0
2016-12-28-03-15-00;3;1;2
2016-12-28-03-30-00;2;0;2
2016-12-28-03-45-00;1;0;1
2016-12-28-04-00-00;2;1;1
2016-12-28-04-15-00;3;1;2
2016-12-28-04-30-00;5;2;3
2016-12-28-04-45-00;3;2;1
2016-12-28-05-00-00;4;2;2
2016-12-28-05-15-00;2;0;2
2016-12-28-05-30-00;4;0;4
2016-12-28-05-45-00;7;3;4
2016-12-28-06-00-00;8;3;5
2016-12-28-06-15-00;3;2;1
2016-12-28-06-30-00;14;5;9
2016-12-28-06-45-00;10;7;3
2016-12-28-07-00-00;11;5;6
2016-12-28-07-15-00;19;12;7
2016-12-28-07-30-00;24;11;13
2016-12-28-07-45-00;28;15;13
2016-12-28-08-00-00;29;17;12
2016-12-28-08-15-00;28;13;15
2016-12-28-08-30-00;18;8;10
2016-12-28-08-45-00;30;15;15
2016-12-28-09-00-00;21;7;14
2016-12-28-09-15-00;21;12;9
2016-12-28-09-30-00;26;11;15
2016-12-28-09-45-00;33;16;17
2016-12-28-10-00-00;20;12;8
2016-12-28-10-15-00;21;9;12
2016-12-28-10-30-00;29;15;14
2016-12-28-10-45-00;36;21;15
2016-12-28-11-00-00;28;9;19
2016-12-28-11-15-00;33;15;18
2016-12-28-11-30-00;36;12;24
2016-12-28-11-45-00;24;8;16
2016-12-28-12-00-00;37;17;20
2016-12-28-12-15-00;40;11;29
2016-12-28-12-30-00;35;13;22
2016-12-28-12-45-00;41;12;29
2016-12-28-13-00-00;54;12;42
2016-12-28-13-15-00;35;12;23
2016-12-28-13-30-00;39;13;26
2016-12-28-13-45-00;28;6;22
2016-12-28-14-00-00;46;16;30
2016-12-28-14-15-00;47;18;29
2016-12-28-14-30-00;51;15;36
2016-12-28-14-45-00;71;18;53
2016-12-28-15-00-00;44;13;31
2016-12-28-15-15-00;50;11;39
2016-12-28-15-30-00;57;11;46
2016-12-28-15-45-00;55;14;41
2016-12-28-16-00-00;80;7;73
2016-12-28-16-15-00;66;16;50
2016-12-28-16-30-00;65;10;55
2016-12-28-16-45-00;67;13;54
2016-12-28-17-00-00;57;10;47
2016-12-28-17-15-00;55;10;45
2016-12-28-17-30-00;72;12;60
2016-12-28-17-45-00;52;12;40
2016-12-28-18-00-00;71;19;52
2016-12-28-18-15-00;42;6;36
2016-12-28-18-30-00;36;9;27
2016-12-28-18-45-00;46;15;31
2016-12-28-19-00-00;39;9;30
2016-12-28-19-15-00;44;13;31
2016-12-28-19-30-00;33;6;27
2016-12-28-19-45-00;36;11;25
2016-12-28-20-00-00;17;2;15
2016-12-28-20-15-00;20;8;12
2016-12-28-20-30-00;22;6;16
2016-12-28-20-45-00;13;3;10
2016-12-28-21-00-00;19;2;17
2016-12-28-21-15-00;19;2;17
2016-12-28-21-30-00;16;3;13
2016-12-28-21-45-00;9;2;7
2016-12-28-22-00-00;8;1;7
2016-12-28-22-15-00;19;5;14
2016-12-28-22-30-00;22;2;20
2016-12-28-22-45-00;19;1;18
2016-12-28-23-00-00;12;1;11
2016-12-28-23-15-00;10;2;8
2016-12-28-23-30-00;14;3;11
2016-12-28-23-45-00;9;3;6
2016-12-29-00-00-00;15;4;11
2016-12-29-00-15-00;1;0;1
2016-12-29-00-30-00;11;2;9
2016-12-29-00-45-00;9;3;6
2016-12-29-01-00-00;3;2;1
2016-12-29-01-15-00;8;1;7
2016-12-29-01-30-00;4;1;3
2016-12-29-01-45-00;0;0;0
2016-12-29-02-00-00;5;0;5
2016-12-29-02-15-00;2;0;2
2016-12-29-02-30-00;2;1;1
2016-12-29-02-45-00;5;0;5
2016-12-29-03-00-00;3;0;3
2016-12-29-03-15-00;0;0;0
2016-12-29-03-30-00;1;1;0
2016-12-29-03-45-00;1;0;1
2016-12-29-04-00-00;0;0;0
2016-12-29-04-15-00;3;1;2
2016-12-29-04-30-00;5;3;2
2016-12-29-04-45-00;3;2;1
2016-12-29-05-00-00;3;1;2
2016-12-29-05-15-00;2;1;1
2016-12-29-05-30-00;6;2;4
2016-12-29-05-45-00;5;2;3
2016-12-29-06-00-00;6;2;4
2016-12-29-06-15-00;4;2;2
2016-12-29-06-30-00;14;4;10
2016-12-29-06-45-00;11;6;5
2016-12-29-07-00-00;5;1;4
2016-12-29-07-15-00;18;10;8
2016-12-29-07-30-00;20;14;6
2016-12-29-07-45-00;25;10;15
2016-12-29-08-00-00;25;10;15
2016-12-29-08-15-00;21;13;8
2016-12-29-08-30-00;15;8;7
2016-12-29-08-45-00;25;14;11
2016-12-29-09-00-00;19;14;5
2016-12-29-09-15-00;18;10;8
2016-12-29-09-30-00;16;7;9
2016-12-29-09-45-00;25;12;13
2016-12-29-10-00-00;16;10;6
2016-12-29-10-15-00;23;7;16
2016-12-29-10-30-00;21;7;14
2016-12-29-10-45-00;23;9;14
2016-12-29-11-00-00;21;9;12
2016-12-29-11-15-00;30;16;14
2016-12-29-11-30-00;28;12;16
2016-12-29-11-45-00;37;11;26
2016-12-29-12-00-00;31;6;25
2016-12-29-12-15-00;43;20;23
2016-12-29-12-30-00;40;12;28
2016-12-29-12-45-00;43;15;28
2016-12-29-13-00-00;45;10;35
2016-12-29-13-15-00;58;23;35
2016-12-29-13-30-00;55;15;40
2016-12-29-13-45-00;62;9;53
2016-12-29-14-00-00;57;17;40
2016-12-29-14-15-00;50;22;28
2016-12-29-14-30-00;59;18;41
2016-12-29-14-45-00;60;12;48
2016-12-29-15-00-00;64;14;50
2016-12-29-15-15-00;71;18;53
2016-12-29-15-30-00;67;21;46
2016-12-29-15-45-00;67;10;57
2016-12-29-16-00-00;83;16;67
2016-12-29-16-15-00;63;15;48
2016-12-29-16-30-00;73;17;56
2016-12-29-16-45-00;76;13;63
2016-12-29-17-00-00;83;23;60
2016-12-29-17-15-00;66;6;60
2016-12-29-17-30-00;54;6;48
2016-12-29-17-45-00;55;10;45
2016-12-29-18-00-00;49;12;37
2016-12-29-18-15-00;52;11;41
2016-12-29-18-30-00;34;12;22
2016-12-29-18-45-00;59;10;49
2016-12-29-19-00-00;39;5;34
2016-12-29-19-15-00;26;6;20
2016-12-29-19-30-00;22;3;19
2016-12-29-19-45-00;20;1;19
2016-12-29-20-00-00;15;3;12
2016-12-29-20-15-00;23;7;16
2016-12-29-20-30-00;24;7;17
2016-12-29-20-45-00;13;2;11
2016-12-29-21-00-00;15;1;14
2016-12-29-21-15-00;10;2;8
2016-12-29-21-30-00;12;1;11
2016-12-29-21-45-00;9;2;7
2016-12-29-22-00-00;10;4;6
2016-12-29-22-15-00;12;3;9
2016-12-29-22-30-00;14;3;11
2016-12-29-22-45-00;13;1;12
2016-12-29-23-00-00;15;1;14
2016-12-29-23-15-00;5;3;2
2016-12-29-23-30-00;8;1;7
2016-12-29-23-45-00;12;2;10
2016-12-30-00-00-00;4;0;4
2016-12-30-00-15-00;7;3;4
2016-12-30-00-30-00;7;0;7
2016-12-30-00-45-00;2;1;1
2016-12-30-01-00-00;4;0;4
2016-12-30-01-15-00;4;1;3
2016-12-30-01-30-00;5;0;5
2016-12-30-01-45-00;4;1;3
2016-12-30-02-00-00;3;1;2
2016-12-30-02-15-00;0;0;0
2016-12-30-02-30-00;2;0;2
2016-12-30-02-45-00;2;0;2
2016-12-30-03-00-00;0;0;0
2016-12-30-03-15-00;1;0;1
2016-12-30-03-30-00;3;0;3
2016-12-30-03-45-00;2;0;2
2016-12-30-04-00-00;1;1;0
2016-12-30-04-15-00;1;0;1
2016-12-30-04-30-00;1;1;0
2016-12-30-04-45-00;3;2;1
2016-12-30-05-00-00;2;0;2
2016-12-30-05-15-00;2;1;1
2016-12-30-05-30-00;4;0;4
2016-12-30-05-45-00;4;1;3
2016-12-30-06-00-00;2;1;1
2016-12-30-06-15-00;5;3;2
2016-12-30-06-30-00;7;3;4
2016-12-30-06-45-00;16;6;10
2016-12-30-07-00-00;7;4;3
2016-12-30-07-15-00;19;5;14
2016-12-30-07-30-00;14;6;8
2016-12-30-07-45-00;24;14;10
2016-12-30-08-00-00;14;6;8
2016-12-30-08-15-00;22;12;10
2016-12-30-08-30-00;21;10;11
2016-12-30-08-45-00;24;11;13
2016-12-30-09-00-00;19;10;9
2016-12-30-09-15-00;22;13;9
2016-12-30-09-30-00;13;8;5
2016-12-30-09-45-00;23;13;10
2016-12-30-10-00-00;19;11;8
2016-12-30-10-15-00;17;12;5
2016-12-30-10-30-00;21;13;8
2016-12-30-10-45-00;25;13;12
2016-12-30-11-00-00;33;10;23
2016-12-30-11-15-00;30;10;20
2016-12-30-11-30-00;24;14;10
2016-12-30-11-45-00;29;14;15
2016-12-30-12-00-00;33;17;16
2016-12-30-12-15-00;37;15;22
2016-12-30-12-30-00;53;15;38
2016-12-30-12-45-00;54;12;42
2016-12-30-13-00-00;49;13;36
2016-12-30-13-15-00;55;15;40
2016-12-30-13-30-00;52;14;38
2016-12-30-13-45-00;43;10;33
2016-12-30-14-00-00;50;22;28
2016-12-30-14-15-00;51;13;38
2016-12-30-14-30-00;51;13;38
2016-12-30-14-45-00;59;17;42
2016-12-30-15-00-00;69;20;49
2016-12-30-15-15-00;54;15;39
2016-12-30-15-30-00;60;15;45
2016-12-30-15-45-00;59;20;39
2016-12-30-16-00-00;77;26;51
2016-12-30-16-15-00;64;17;47
2016-12-30-16-30-00;54;15;39
2016-12-30-16-45-00;47;12;35
2016-12-30-17-00-00;50;9;41
2016-12-30-17-15-00;50;9;41
2016-12-30-17-30-00;46;8;38
2016-12-30-17-45-00;39;10;29
2016-12-30-18-00-00;37;10;27
2016-12-30-18-15-00;29;5;24
2016-12-30-18-30-00;25;6;19
2016-12-30-18-45-00;33;10;23
2016-12-30-19-00-00;40;6;34
2016-12-30-19-15-00;29;7;22
