 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2015-03-27-09-15-00;35;23;12
2015-03-27-09-30-00;40;19;21
2015-03-27-09-45-00;50;25;25
2015-03-27-10-00-00;34;11;23
2015-03-27-10-15-00;47;12;35
2015-03-27-10-30-00;37;13;24
2015-03-27-10-45-00;41;16;25
2015-03-27-11-00-00;31;8;23
2015-03-27-11-15-00;28;7;21
2015-03-27-11-30-00;38;14;24
2015-03-27-11-45-00;44;17;27
2015-03-27-12-00-00;43;15;28
2015-03-27-12-15-00;49;8;41
2015-03-27-12-30-00;50;11;39
2015-03-27-12-45-00;51;12;39
2015-03-27-13-00-00;49;10;39
2015-03-27-13-15-00;64;10;54
2015-03-27-13-30-00;64;14;50
2015-03-27-13-45-00;45;10;35
2015-03-27-14-00-00;53;18;35
2015-03-27-14-15-00;60;7;53
2015-03-27-14-30-00;63;15;48
2015-03-27-14-45-00;70;12;58
2015-03-27-15-00-00;61;10;51
2015-03-27-15-15-00;62;17;45
2015-03-27-15-30-00;75;14;61
2015-03-27-15-45-00;83;17;66
2015-03-27-16-00-00;76;17;59
2015-03-27-16-15-00;63;7;56
2015-03-27-16-30-00;61;17;44
2015-03-27-16-45-00;70;20;50
2015-03-27-17-00-00;67;11;56
2015-03-27-17-15-00;60;21;39
2015-03-27-17-30-00;77;20;57
2015-03-27-17-45-00;84;26;58
2015-03-27-18-00-00;60;20;40
2015-03-27-18-15-00;74;13;61
2015-03-27-18-30-00;57;15;42
2015-03-27-18-45-00;63;10;53
2015-03-27-19-00-00;35;10;25
2015-03-27-19-15-00;59;12;47
2015-03-27-19-30-00;47;17;30
2015-03-27-19-45-00;33;5;28
2015-03-27-20-00-00;41;14;27
2015-03-27-20-15-00;36;3;33
2015-03-27-20-30-00;41;14;27
2015-03-27-20-45-00;25;7;18
2015-03-27-21-00-00;20;8;12
2015-03-27-21-15-00;17;5;12
2015-03-27-21-30-00;15;5;10
2015-03-27-21-45-00;16;7;9
2015-03-27-22-00-00;24;2;22
2015-03-27-22-15-00;16;4;12
2015-03-27-22-30-00;12;3;9
2015-03-27-22-45-00;16;3;13
2015-03-27-23-00-00;17;1;16
2015-03-27-23-15-00;16;5;11
2015-03-27-23-30-00;21;3;18
2015-03-27-23-45-00;19;4;15
2015-03-28-00-00-00;10;2;8
2015-03-28-00-15-00;10;4;6
2015-03-28-00-30-00;18;2;16
2015-03-28-00-45-00;7;1;6
2015-03-28-01-00-00;3;1;2
2015-03-28-01-15-00;5;3;2
2015-03-28-01-30-00;7;0;7
2015-03-28-01-45-00;3;0;3
2015-03-28-02-00-00;6;0;6
2015-03-28-02-15-00;6;1;5
2015-03-28-02-30-00;4;1;3
2015-03-28-02-45-00;6;0;6
2015-03-28-03-00-00;3;0;3
2015-03-28-03-15-00;5;1;4
2015-03-28-03-30-00;6;0;6
2015-03-28-03-45-00;4;0;4
2015-03-28-04-00-00;1;1;0
2015-03-28-04-15-00;4;3;1
2015-03-28-04-30-00;1;0;1
2015-03-28-04-45-00;0;0;0
2015-03-28-05-00-00;1;1;0
2015-03-28-05-15-00;1;1;0
2015-03-28-05-30-00;7;4;3
2015-03-28-05-45-00;1;0;1
2015-03-28-06-00-00;6;2;4
2015-03-28-06-15-00;4;0;4
2015-03-28-06-30-00;3;1;2
2015-03-28-06-45-00;4;1;3
2015-03-28-07-00-00;8;1;7
2015-03-28-07-15-00;5;2;3
2015-03-28-07-30-00;4;0;4
2015-03-28-07-45-00;4;3;1
2015-03-28-08-00-00;11;6;5
2015-03-28-08-15-00;13;5;8
2015-03-28-08-30-00;19;9;10
2015-03-28-08-45-00;25;13;12
2015-03-28-09-00-00;17;10;7
2015-03-28-09-15-00;26;15;11
2015-03-28-09-30-00;25;15;10
2015-03-28-09-45-00;49;20;29
2015-03-28-10-00-00;33;15;18
2015-03-28-10-15-00;46;21;25
2015-03-28-10-30-00;40;23;17
2015-03-28-10-45-00;45;19;26
2015-03-28-11-00-00;58;28;30
2015-03-28-11-15-00;41;20;21
2015-03-28-11-30-00;62;17;45
2015-03-28-11-45-00;46;16;30
2015-03-28-12-00-00;53;16;37
2015-03-28-12-15-00;56;12;44
2015-03-28-12-30-00;61;21;40
2015-03-28-12-45-00;61;22;39
