 ;5.15 BN - Weg auf Damm Neil ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden
2016-01-18-08-45-00;19;6;0;0;13
2016-01-18-09-00-00;9;2;0;0;7
2016-01-18-09-15-00;13;1;2;1;9
2016-01-18-09-30-00;9;6;0;0;3
2016-01-18-09-45-00;10;4;0;0;6
2016-01-18-10-00-00;5;3;0;0;2
2016-01-18-10-15-00;7;4;0;2;1
2016-01-18-10-30-00;10;5;1;1;3
2016-01-18-10-45-00;5;5;0;0;0
2016-01-18-11-00-00;8;2;0;0;6
2016-01-18-11-15-00;19;12;0;3;4
2016-01-18-11-30-00;9;3;0;1;5
2016-01-18-11-45-00;12;6;0;2;4
2016-01-18-12-00-00;17;8;0;3;6
2016-01-18-12-15-00;15;3;0;0;12
2016-01-18-12-30-00;7;5;0;1;1
2016-01-18-12-45-00;9;6;0;0;3
2016-01-18-13-00-00;12;3;0;2;7
2016-01-18-13-15-00;21;12;0;4;5
2016-01-18-13-30-00;16;6;0;1;9
2016-01-18-13-45-00;17;7;1;0;9
2016-01-18-14-00-00;15;8;0;1;6
2016-01-18-14-15-00;17;12;0;1;4
2016-01-18-14-30-00;31;11;3;4;13
2016-01-18-14-45-00;15;6;0;3;6
2016-01-18-15-00-00;11;4;1;1;5
2016-01-18-15-15-00;20;12;0;0;8
2016-01-18-15-30-00;16;8;0;1;7
2016-01-18-15-45-00;13;4;0;0;9
2016-01-18-16-00-00;22;10;1;2;9
2016-01-18-16-15-00;12;4;0;1;7
2016-01-18-16-30-00;17;10;0;3;4
2016-01-18-16-45-00;19;10;1;0;8
2016-01-18-17-00-00;19;12;0;1;6
2016-01-18-17-15-00;11;7;0;0;4
2016-01-18-17-30-00;19;10;0;1;8
2016-01-18-17-45-00;24;15;0;0;9
2016-01-18-18-00-00;13;9;0;1;3
2016-01-18-18-15-00;14;8;0;0;6
2016-01-18-18-30-00;10;6;0;0;4
2016-01-18-18-45-00;13;6;0;1;6
2016-01-18-19-00-00;9;4;0;2;3
2016-01-18-19-15-00;12;9;0;1;2
2016-01-18-19-30-00;5;3;0;0;2
2016-01-18-19-45-00;4;4;0;0;0
2016-01-18-20-00-00;2;1;0;0;1
2016-01-18-20-15-00;6;1;0;1;4
2016-01-18-20-30-00;4;2;0;1;1
2016-01-18-20-45-00;5;2;0;1;2
2016-01-18-21-00-00;1;0;1;0;0
2016-01-18-21-15-00;0;0;0;0;0
2016-01-18-21-30-00;1;0;0;0;1
2016-01-18-21-45-00;1;1;0;0;0
2016-01-18-22-00-00;0;0;0;0;0
2016-01-18-22-15-00;1;1;0;0;0
2016-01-18-22-30-00;0;0;0;0;0
2016-01-18-22-45-00;0;0;0;0;0
2016-01-18-23-00-00;0;0;0;0;0
2016-01-18-23-15-00;1;0;0;0;1
2016-01-18-23-30-00;0;0;0;0;0
2016-01-18-23-45-00;0;0;0;0;0
2016-01-19-00-00-00;0;0;0;0;0
2016-01-19-00-15-00;0;0;0;0;0
2016-01-19-00-30-00;0;0;0;0;0
2016-01-19-00-45-00;0;0;0;0;0
2016-01-19-01-00-00;0;0;0;0;0
2016-01-19-01-15-00;0;0;0;0;0
2016-01-19-01-30-00;0;0;0;0;0
2016-01-19-01-45-00;0;0;0;0;0
2016-01-19-02-00-00;0;0;0;0;0
2016-01-19-02-15-00;0;0;0;0;0
2016-01-19-02-30-00;0;0;0;0;0
2016-01-19-02-45-00;0;0;0;0;0
2016-01-19-03-00-00;1;0;0;1;0
2016-01-19-03-15-00;0;0;0;0;0
2016-01-19-03-30-00;0;0;0;0;0
2016-01-19-03-45-00;0;0;0;0;0
2016-01-19-04-00-00;0;0;0;0;0
2016-01-19-04-15-00;0;0;0;0;0
2016-01-19-04-30-00;0;0;0;0;0
2016-01-19-04-45-00;0;0;0;0;0
2016-01-19-05-00-00;0;0;0;0;0
2016-01-19-05-15-00;0;0;0;0;0
2016-01-19-05-30-00;1;0;0;0;1
2016-01-19-05-45-00;0;0;0;0;0
2016-01-19-06-00-00;0;0;0;0;0
2016-01-19-06-15-00;0;0;0;0;0
2016-01-19-06-30-00;3;1;0;1;1
2016-01-19-06-45-00;7;2;0;0;5
2016-01-19-07-00-00;3;0;0;0;3
2016-01-19-07-15-00;15;10;0;1;4
2016-01-19-07-30-00;28;14;0;1;13
2016-01-19-07-45-00;29;12;1;1;15
2016-01-19-08-00-00;20;10;0;0;10
2016-01-19-08-15-00;31;12;1;1;17
2016-01-19-08-30-00;26;6;1;1;18
2016-01-19-08-45-00;26;9;2;3;12
2016-01-19-09-00-00;14;4;0;0;10
2016-01-19-09-15-00;9;1;0;0;8
2016-01-19-09-30-00;15;5;0;3;7
2016-01-19-09-45-00;3;3;0;0;0
2016-01-19-10-00-00;9;4;0;1;4
2016-01-19-10-15-00;4;1;0;0;3
2016-01-19-10-30-00;13;5;0;1;7
2016-01-19-10-45-00;5;2;0;2;1
2016-01-19-11-00-00;7;1;0;1;5
2016-01-19-11-15-00;5;2;0;0;3
2016-01-19-11-30-00;8;1;1;1;5
2016-01-19-11-45-00;5;3;0;0;2
2016-01-19-12-00-00;16;9;1;1;5
2016-01-19-12-15-00;11;5;0;1;5
2016-01-19-12-30-00;9;2;0;1;6
2016-01-19-12-45-00;16;5;3;0;8
2016-01-19-13-00-00;11;5;0;0;6
2016-01-19-13-15-00;13;5;0;0;8
2016-01-19-13-30-00;14;7;2;1;4
2016-01-19-13-45-00;11;6;1;1;3
2016-01-19-14-00-00;13;7;0;1;5
2016-01-19-14-15-00;10;6;0;0;4
2016-01-19-14-30-00;10;5;0;0;5
2016-01-19-14-45-00;13;3;1;0;9
2016-01-19-15-00-00;13;7;1;1;4
2016-01-19-15-15-00;16;8;0;0;8
2016-01-19-15-30-00;19;12;1;1;5
2016-01-19-15-45-00;17;12;0;1;4
2016-01-19-16-00-00;15;9;0;4;2
2016-01-19-16-15-00;15;7;0;0;8
2016-01-19-16-30-00;18;10;0;1;7
2016-01-19-16-45-00;17;8;0;0;9
2016-01-19-17-00-00;18;10;0;0;8
2016-01-19-17-15-00;19;10;0;0;9
2016-01-19-17-30-00;18;12;0;1;5
2016-01-19-17-45-00;9;6;0;0;3
2016-01-19-18-00-00;22;15;0;2;5
2016-01-19-18-15-00;11;5;0;0;6
2016-01-19-18-30-00;6;3;0;0;3
2016-01-19-18-45-00;15;11;0;1;3
2016-01-19-19-00-00;8;3;1;0;4
2016-01-19-19-15-00;5;3;0;0;2
2016-01-19-19-30-00;5;0;0;1;4
2016-01-19-19-45-00;4;3;0;0;1
2016-01-19-20-00-00;6;6;0;0;0
2016-01-19-20-15-00;7;3;0;1;3
2016-01-19-20-30-00;8;2;1;1;4
2016-01-19-20-45-00;2;1;0;0;1
2016-01-19-21-00-00;2;1;0;0;1
2016-01-19-21-15-00;3;1;0;0;2
2016-01-19-21-30-00;5;2;0;1;2
2016-01-19-21-45-00;1;1;0;0;0
2016-01-19-22-00-00;0;0;0;0;0
2016-01-19-22-15-00;0;0;0;0;0
2016-01-19-22-30-00;0;0;0;0;0
2016-01-19-22-45-00;0;0;0;0;0
2016-01-19-23-00-00;0;0;0;0;0
2016-01-19-23-15-00;3;0;1;0;2
2016-01-19-23-30-00;1;0;0;0;1
2016-01-19-23-45-00;1;1;0;0;0
2016-01-20-00-00-00;0;0;0;0;0
2016-01-20-00-15-00;0;0;0;0;0
2016-01-20-00-30-00;0;0;0;0;0
2016-01-20-00-45-00;1;1;0;0;0
2016-01-20-01-00-00;0;0;0;0;0
2016-01-20-01-15-00;0;0;0;0;0
2016-01-20-01-30-00;0;0;0;0;0
2016-01-20-01-45-00;0;0;0;0;0
2016-01-20-02-00-00;0;0;0;0;0
2016-01-20-02-15-00;0;0;0;0;0
2016-01-20-02-30-00;0;0;0;0;0
2016-01-20-02-45-00;0;0;0;0;0
2016-01-20-03-00-00;0;0;0;0;0
2016-01-20-03-15-00;0;0;0;0;0
2016-01-20-03-30-00;0;0;0;0;0
2016-01-20-03-45-00;0;0;0;0;0
2016-01-20-04-00-00;0;0;0;0;0
2016-01-20-04-15-00;1;0;0;0;1
2016-01-20-04-30-00;0;0;0;0;0
2016-01-20-04-45-00;0;0;0;0;0
2016-01-20-05-00-00;0;0;0;0;0
2016-01-20-05-15-00;0;0;0;0;0
2016-01-20-05-30-00;1;0;0;0;1
2016-01-20-05-45-00;2;0;0;1;1
2016-01-20-06-00-00;1;0;0;0;1
2016-01-20-06-15-00;0;0;0;0;0
2016-01-20-06-30-00;0;0;0;0;0
2016-01-20-06-45-00;9;2;0;0;7
2016-01-20-07-00-00;4;3;0;0;1
2016-01-20-07-15-00;17;14;0;0;3
2016-01-20-07-30-00;21;7;0;0;14
2016-01-20-07-45-00;39;13;3;0;23
2016-01-20-08-00-00;17;5;0;1;11
2016-01-20-08-15-00;19;6;0;0;13
2016-01-20-08-30-00;19;9;1;0;9
2016-01-20-08-45-00;17;9;0;0;8
2016-01-20-09-00-00;11;2;0;0;9
2016-01-20-09-15-00;14;6;0;0;8
2016-01-20-09-30-00;10;3;0;1;6
2016-01-20-09-45-00;6;2;0;0;4
2016-01-20-10-00-00;3;1;0;0;2
2016-01-20-10-15-00;5;1;0;1;3
2016-01-20-10-30-00;4;1;0;1;2
2016-01-20-10-45-00;4;2;0;0;2
2016-01-20-11-00-00;6;2;0;1;3
2016-01-20-11-15-00;7;5;0;0;2
2016-01-20-11-30-00;5;3;0;0;2
2016-01-20-11-45-00;6;2;0;1;3
2016-01-20-12-00-00;9;5;0;0;4
2016-01-20-12-15-00;6;1;0;1;4
2016-01-20-12-30-00;6;3;0;0;3
2016-01-20-12-45-00;6;3;0;0;3
2016-01-20-13-00-00;6;3;0;1;2
2016-01-20-13-15-00;5;2;0;0;3
