 ;5.12 BN - Straßburger Weg ;5.12 BN - Straßenburger Weg Radfahrer Ri. Süden ;5.12 BN - Straßenburger Weg Radfahrer Ri. Norden
2015-06-07-11-45-00;12;5;7
2015-06-07-12-00-00;19;9;10
2015-06-07-12-15-00;17;7;10
2015-06-07-12-30-00;33;18;15
2015-06-07-12-45-00;38;17;21
2015-06-07-13-00-00;18;5;13
2015-06-07-13-15-00;29;8;21
2015-06-07-13-30-00;34;15;19
2015-06-07-13-45-00;28;16;12
2015-06-07-14-00-00;43;19;24
2015-06-07-14-15-00;40;14;26
2015-06-07-14-30-00;33;15;18
2015-06-07-14-45-00;30;10;20
2015-06-07-15-00-00;51;14;37
2015-06-07-15-15-00;36;19;17
2015-06-07-15-30-00;61;29;32
2015-06-07-15-45-00;55;26;29
2015-06-07-16-00-00;41;18;23
2015-06-07-16-15-00;57;35;22
2015-06-07-16-30-00;37;20;17
2015-06-07-16-45-00;43;27;16
2015-06-07-17-00-00;35;19;16
2015-06-07-17-15-00;37;13;24
2015-06-07-17-30-00;58;33;25
2015-06-07-17-45-00;24;14;10
2015-06-07-18-00-00;45;29;16
2015-06-07-18-15-00;42;21;21
2015-06-07-18-30-00;33;20;13
2015-06-07-18-45-00;18;12;6
2015-06-07-19-00-00;29;13;16
2015-06-07-19-15-00;22;9;13
2015-06-07-19-30-00;19;13;6
2015-06-07-19-45-00;13;7;6
2015-06-07-20-00-00;28;10;18
2015-06-07-20-15-00;20;7;13
2015-06-07-20-30-00;30;5;25
2015-06-07-20-45-00;21;9;12
2015-06-07-21-00-00;19;14;5
2015-06-07-21-15-00;5;3;2
2015-06-07-21-30-00;4;2;2
2015-06-07-21-45-00;11;3;8
2015-06-07-22-00-00;8;3;5
2015-06-07-22-15-00;10;3;7
2015-06-07-22-30-00;8;1;7
2015-06-07-22-45-00;8;2;6
2015-06-07-23-00-00;3;1;2
2015-06-07-23-15-00;4;0;4
2015-06-07-23-30-00;3;3;0
2015-06-07-23-45-00;5;1;4
2015-06-08-00-00-00;4;1;3
2015-06-08-00-15-00;3;2;1
2015-06-08-00-30-00;1;0;1
2015-06-08-00-45-00;0;0;0
2015-06-08-01-00-00;3;3;0
2015-06-08-01-15-00;0;0;0
2015-06-08-01-30-00;1;1;0
2015-06-08-01-45-00;0;0;0
2015-06-08-02-00-00;1;0;1
2015-06-08-02-15-00;0;0;0
2015-06-08-02-30-00;0;0;0
2015-06-08-02-45-00;0;0;0
2015-06-08-03-00-00;0;0;0
2015-06-08-03-15-00;0;0;0
2015-06-08-03-30-00;2;0;2
2015-06-08-03-45-00;0;0;0
2015-06-08-04-00-00;3;2;1
2015-06-08-04-15-00;0;0;0
2015-06-08-04-30-00;1;1;0
2015-06-08-04-45-00;0;0;0
2015-06-08-05-00-00;3;2;1
2015-06-08-05-15-00;2;2;0
2015-06-08-05-30-00;4;2;2
2015-06-08-05-45-00;4;4;0
2015-06-08-06-00-00;18;8;10
2015-06-08-06-15-00;17;11;6
2015-06-08-06-30-00;24;13;11
2015-06-08-06-45-00;23;12;11
2015-06-08-07-00-00;38;20;18
2015-06-08-07-15-00;38;17;21
2015-06-08-07-30-00;84;42;42
2015-06-08-07-45-00;85;41;44
2015-06-08-08-00-00;105;54;51
2015-06-08-08-15-00;87;38;49
2015-06-08-08-30-00;112;43;69
2015-06-08-08-45-00;119;53;66
2015-06-08-09-00-00;98;39;59
2015-06-08-09-15-00;65;28;37
2015-06-08-09-30-00;43;26;17
2015-06-08-09-45-00;42;21;21
2015-06-08-10-00-00;40;18;22
2015-06-08-10-15-00;25;13;12
2015-06-08-10-30-00;35;21;14
2015-06-08-10-45-00;33;19;14
2015-06-08-11-00-00;37;16;21
2015-06-08-11-15-00;31;16;15
2015-06-08-11-30-00;31;17;14
2015-06-08-11-45-00;34;18;16
2015-06-08-12-00-00;33;13;20
2015-06-08-12-15-00;41;22;19
2015-06-08-12-30-00;43;13;30
2015-06-08-12-45-00;37;16;21
2015-06-08-13-00-00;40;10;30
2015-06-08-13-15-00;43;16;27
2015-06-08-13-30-00;34;11;23
2015-06-08-13-45-00;46;23;23
2015-06-08-14-00-00;42;14;28
