 ;5.12 BN - Straßburger Weg ;5.12 BN - Straßenburger Weg Radfahrer Ri. Süden ;5.12 BN - Straßenburger Weg Radfahrer Ri. Norden
2016-08-23-00-15-00;3;0;3
2016-08-23-00-30-00;6;0;6
2016-08-23-00-45-00;2;0;2
2016-08-23-01-00-00;1;1;0
2016-08-23-01-15-00;2;2;0
2016-08-23-01-30-00;3;0;3
2016-08-23-01-45-00;0;0;0
2016-08-23-02-00-00;0;0;0
2016-08-23-02-15-00;0;0;0
2016-08-23-02-30-00;0;0;0
2016-08-23-02-45-00;3;2;1
2016-08-23-03-00-00;2;1;1
2016-08-23-03-15-00;0;0;0
2016-08-23-03-30-00;0;0;0
2016-08-23-03-45-00;1;0;1
2016-08-23-04-00-00;2;0;2
2016-08-23-04-15-00;3;1;2
2016-08-23-04-30-00;1;0;1
2016-08-23-04-45-00;1;1;0
2016-08-23-05-00-00;3;2;1
2016-08-23-05-15-00;3;1;2
2016-08-23-05-30-00;3;2;1
2016-08-23-05-45-00;6;4;2
2016-08-23-06-00-00;15;8;7
2016-08-23-06-15-00;16;7;9
2016-08-23-06-30-00;30;16;14
2016-08-23-06-45-00;32;20;12
2016-08-23-07-00-00;30;17;13
2016-08-23-07-15-00;55;29;26
2016-08-23-07-30-00;67;22;45
2016-08-23-07-45-00;101;54;47
2016-08-23-08-00-00;102;39;63
2016-08-23-08-15-00;114;47;67
2016-08-23-08-30-00;133;53;80
2016-08-23-08-45-00;133;49;84
2016-08-23-09-00-00;115;42;73
2016-08-23-09-15-00;60;20;40
2016-08-23-09-30-00;53;32;21
2016-08-23-09-45-00;45;20;25
2016-08-23-10-00-00;26;15;11
2016-08-23-10-15-00;32;20;12
2016-08-23-10-30-00;46;27;19
2016-08-23-10-45-00;35;20;15
2016-08-23-11-00-00;27;10;17
2016-08-23-11-15-00;24;11;13
2016-08-23-11-30-00;36;13;23
2016-08-23-11-45-00;36;19;17
2016-08-23-12-00-00;39;19;20
2016-08-23-12-15-00;45;22;23
2016-08-23-12-30-00;50;23;27
2016-08-23-12-45-00;46;21;25
2016-08-23-13-00-00;42;18;24
2016-08-23-13-15-00;48;13;35
2016-08-23-13-30-00;48;16;32
2016-08-23-13-45-00;43;19;24
2016-08-23-14-00-00;47;25;22
2016-08-23-14-15-00;37;17;20
2016-08-23-14-30-00;47;25;22
2016-08-23-14-45-00;60;31;29
2016-08-23-15-00-00;40;19;21
2016-08-23-15-15-00;45;22;23
2016-08-23-15-30-00;65;40;25
2016-08-23-15-45-00;60;30;30
2016-08-23-16-00-00;86;40;46
2016-08-23-16-15-00;65;30;35
2016-08-23-16-30-00;86;49;37
2016-08-23-16-45-00;64;36;28
2016-08-23-17-00-00;73;33;40
2016-08-23-17-15-00;97;62;35
2016-08-23-17-30-00;79;50;29
2016-08-23-17-45-00;88;47;41
2016-08-23-18-00-00;93;57;36
2016-08-23-18-15-00;83;51;32
2016-08-23-18-30-00;90;49;41
2016-08-23-18-45-00;77;36;41
2016-08-23-19-00-00;66;22;44
2016-08-23-19-15-00;55;28;27
2016-08-23-19-30-00;50;23;27
2016-08-23-19-45-00;55;21;34
2016-08-23-20-00-00;38;14;24
2016-08-23-20-15-00;30;13;17
2016-08-23-20-30-00;17;9;8
2016-08-23-20-45-00;20;8;12
2016-08-23-21-00-00;26;15;11
2016-08-23-21-15-00;28;17;11
2016-08-23-21-30-00;21;7;14
2016-08-23-21-45-00;22;13;9
2016-08-23-22-00-00;17;6;11
2016-08-23-22-15-00;7;2;5
2016-08-23-22-30-00;24;14;10
2016-08-23-22-45-00;11;1;10
2016-08-23-23-00-00;7;1;6
2016-08-23-23-15-00;12;1;11
2016-08-23-23-30-00;7;3;4
2016-08-23-23-45-00;6;2;4
2016-08-24-00-00-00;8;5;3
2016-08-24-00-15-00;4;0;4
2016-08-24-00-30-00;3;0;3
2016-08-24-00-45-00;5;1;4
2016-08-24-01-00-00;1;0;1
2016-08-24-01-15-00;1;0;1
2016-08-24-01-30-00;1;0;1
2016-08-24-01-45-00;0;0;0
2016-08-24-02-00-00;1;0;1
2016-08-24-02-15-00;3;1;2
2016-08-24-02-30-00;1;0;1
2016-08-24-02-45-00;0;0;0
2016-08-24-03-00-00;1;0;1
2016-08-24-03-15-00;1;0;1
2016-08-24-03-30-00;1;1;0
2016-08-24-03-45-00;1;0;1
2016-08-24-04-00-00;0;0;0
2016-08-24-04-15-00;0;0;0
2016-08-24-04-30-00;0;0;0
2016-08-24-04-45-00;1;1;0
2016-08-24-05-00-00;4;2;2
2016-08-24-05-15-00;2;1;1
2016-08-24-05-30-00;5;4;1
2016-08-24-05-45-00;7;5;2
2016-08-24-06-00-00;11;7;4
2016-08-24-06-15-00;12;6;6
2016-08-24-06-30-00;29;20;9
2016-08-24-06-45-00;22;10;12
2016-08-24-07-00-00;40;21;19
2016-08-24-07-15-00;80;33;47
2016-08-24-07-30-00;102;39;63
2016-08-24-07-45-00;93;40;53
2016-08-24-08-00-00;125;49;76
2016-08-24-08-15-00;117;37;80
2016-08-24-08-30-00;146;51;95
2016-08-24-08-45-00;140;43;97
2016-08-24-09-00-00;97;38;59
2016-08-24-09-15-00;72;27;45
2016-08-24-09-30-00;57;36;21
2016-08-24-09-45-00;36;17;19
2016-08-24-10-00-00;40;20;20
2016-08-24-10-15-00;32;19;13
2016-08-24-10-30-00;38;19;19
2016-08-24-10-45-00;23;13;10
2016-08-24-11-00-00;34;22;12
2016-08-24-11-15-00;23;12;11
2016-08-24-11-30-00;21;9;12
2016-08-24-11-45-00;40;17;23
2016-08-24-12-00-00;38;16;22
2016-08-24-12-15-00;50;25;25
2016-08-24-12-30-00;45;13;32
2016-08-24-12-45-00;36;14;22
2016-08-24-13-00-00;48;12;36
2016-08-24-13-15-00;39;21;18
2016-08-24-13-30-00;48;16;32
2016-08-24-13-45-00;42;17;25
2016-08-24-14-00-00;38;14;24
2016-08-24-14-15-00;35;14;21
2016-08-24-14-30-00;49;21;28
2016-08-24-14-45-00;43;22;21
2016-08-24-15-00-00;36;18;18
2016-08-24-15-15-00;55;26;29
2016-08-24-15-30-00;56;23;33
2016-08-24-15-45-00;55;23;32
2016-08-24-16-00-00;75;48;27
2016-08-24-16-15-00;74;39;35
2016-08-24-16-30-00;74;39;35
2016-08-24-16-45-00;84;55;29
2016-08-24-17-00-00;85;37;48
2016-08-24-17-15-00;82;50;32
2016-08-24-17-30-00;92;62;30
2016-08-24-17-45-00;99;70;29
2016-08-24-18-00-00;88;60;28
2016-08-24-18-15-00;80;38;42
2016-08-24-18-30-00;82;41;41
2016-08-24-18-45-00;76;38;38
2016-08-24-19-00-00;63;31;32
2016-08-24-19-15-00;45;23;22
2016-08-24-19-30-00;49;22;27
2016-08-24-19-45-00;58;30;28
2016-08-24-20-00-00;39;22;17
2016-08-24-20-15-00;32;6;26
2016-08-24-20-30-00;20;8;12
2016-08-24-20-45-00;39;15;24
2016-08-24-21-00-00;27;16;11
2016-08-24-21-15-00;25;12;13
2016-08-24-21-30-00;20;11;9
2016-08-24-21-45-00;22;11;11
2016-08-24-22-00-00;29;17;12
2016-08-24-22-15-00;23;14;9
2016-08-24-22-30-00;12;9;3
2016-08-24-22-45-00;17;7;10
2016-08-24-23-00-00;4;2;2
2016-08-24-23-15-00;14;6;8
2016-08-24-23-30-00;10;6;4
2016-08-24-23-45-00;8;3;5
2016-08-25-00-00-00;10;1;9
2016-08-25-00-15-00;3;2;1
2016-08-25-00-30-00;8;6;2
2016-08-25-00-45-00;2;1;1
2016-08-25-01-00-00;5;3;2
2016-08-25-01-15-00;3;0;3
2016-08-25-01-30-00;0;0;0
2016-08-25-01-45-00;1;0;1
2016-08-25-02-00-00;1;0;1
2016-08-25-02-15-00;1;0;1
2016-08-25-02-30-00;1;0;1
2016-08-25-02-45-00;1;0;1
2016-08-25-03-00-00;0;0;0
2016-08-25-03-15-00;2;1;1
2016-08-25-03-30-00;0;0;0
2016-08-25-03-45-00;0;0;0
2016-08-25-04-00-00;1;0;1
2016-08-25-04-15-00;2;1;1
2016-08-25-04-30-00;1;1;0
2016-08-25-04-45-00;0;0;0
2016-08-25-05-00-00;4;2;2
2016-08-25-05-15-00;2;1;1
2016-08-25-05-30-00;5;5;0
2016-08-25-05-45-00;7;4;3
2016-08-25-06-00-00;9;6;3
2016-08-25-06-15-00;10;7;3
2016-08-25-06-30-00;21;14;7
2016-08-25-06-45-00;23;15;8
2016-08-25-07-00-00;41;18;23
2016-08-25-07-15-00;68;28;40
2016-08-25-07-30-00;97;42;55
2016-08-25-07-45-00;92;42;50
2016-08-25-08-00-00;114;37;77
2016-08-25-08-15-00;110;43;67
2016-08-25-08-30-00;137;59;78
2016-08-25-08-45-00;128;40;88
2016-08-25-09-00-00;67;28;39
2016-08-25-09-15-00;66;36;30
2016-08-25-09-30-00;43;24;19
2016-08-25-09-45-00;50;25;25
2016-08-25-10-00-00;35;15;20
2016-08-25-10-15-00;23;12;11
2016-08-25-10-30-00;25;10;15
2016-08-25-10-45-00;16;6;10
2016-08-25-11-00-00;21;12;9
2016-08-25-11-15-00;46;30;16
2016-08-25-11-30-00;24;10;14
2016-08-25-11-45-00;23;11;12
2016-08-25-12-00-00;26;9;17
2016-08-25-12-15-00;34;17;17
2016-08-25-12-30-00;30;13;17
2016-08-25-12-45-00;37;13;24
2016-08-25-13-00-00;31;13;18
2016-08-25-13-15-00;48;20;28
2016-08-25-13-30-00;38;16;22
2016-08-25-13-45-00;37;17;20
2016-08-25-14-00-00;45;28;17
2016-08-25-14-15-00;32;17;15
2016-08-25-14-30-00;54;31;23
2016-08-25-14-45-00;40;11;29
2016-08-25-15-00-00;44;18;26
2016-08-25-15-15-00;36;16;20
2016-08-25-15-30-00;60;28;32
2016-08-25-15-45-00;64;21;43
2016-08-25-16-00-00;77;38;39
2016-08-25-16-15-00;78;50;28
2016-08-25-16-30-00;63;34;29
2016-08-25-16-45-00;81;34;47
2016-08-25-17-00-00;84;43;41
2016-08-25-17-15-00;82;49;33
2016-08-25-17-30-00;71;43;28
2016-08-25-17-45-00;77;52;25
2016-08-25-18-00-00;86;54;32
2016-08-25-18-15-00;77;36;41
2016-08-25-18-30-00;81;46;35
2016-08-25-18-45-00;72;38;34
2016-08-25-19-00-00;51;23;28
2016-08-25-19-15-00;58;27;31
2016-08-25-19-30-00;60;22;38
2016-08-25-19-45-00;56;19;37
2016-08-25-20-00-00;33;14;19
2016-08-25-20-15-00;25;9;16
2016-08-25-20-30-00;24;9;15
2016-08-25-20-45-00;26;16;10
2016-08-25-21-00-00;20;4;16
2016-08-25-21-15-00;15;6;9
2016-08-25-21-30-00;12;6;6
2016-08-25-21-45-00;17;7;10
2016-08-25-22-00-00;22;6;16
2016-08-25-22-15-00;20;6;14
2016-08-25-22-30-00;17;10;7
2016-08-25-22-45-00;29;24;5
2016-08-25-23-00-00;31;26;5
2016-08-25-23-15-00;13;7;6
2016-08-25-23-30-00;13;0;13
2016-08-25-23-45-00;5;1;4
2016-08-26-00-00-00;10;1;9
2016-08-26-00-15-00;2;1;1
2016-08-26-00-30-00;6;0;6
2016-08-26-00-45-00;2;1;1
2016-08-26-01-00-00;4;1;3
2016-08-26-01-15-00;1;1;0
2016-08-26-01-30-00;2;0;2
2016-08-26-01-45-00;0;0;0
2016-08-26-02-00-00;1;0;1
2016-08-26-02-15-00;0;0;0
2016-08-26-02-30-00;0;0;0
2016-08-26-02-45-00;2;0;2
2016-08-26-03-00-00;0;0;0
2016-08-26-03-15-00;0;0;0
2016-08-26-03-30-00;3;2;1
2016-08-26-03-45-00;0;0;0
2016-08-26-04-00-00;0;0;0
2016-08-26-04-15-00;0;0;0
2016-08-26-04-30-00;2;0;2
2016-08-26-04-45-00;2;2;0
2016-08-26-05-00-00;2;1;1
2016-08-26-05-15-00;2;1;1
2016-08-26-05-30-00;4;3;1
2016-08-26-05-45-00;10;8;2
2016-08-26-06-00-00;10;7;3
2016-08-26-06-15-00;14;11;3
2016-08-26-06-30-00;16;8;8
2016-08-26-06-45-00;29;17;12
2016-08-26-07-00-00;22;9;13
2016-08-26-07-15-00;64;26;38
2016-08-26-07-30-00;82;40;42
2016-08-26-07-45-00;90;29;61
2016-08-26-08-00-00;88;28;60
2016-08-26-08-15-00;115;55;60
2016-08-26-08-30-00;130;48;82
2016-08-26-08-45-00;115;37;78
2016-08-26-09-00-00;55;26;29
2016-08-26-09-15-00;51;22;29
2016-08-26-09-30-00;51;28;23
2016-08-26-09-45-00;46;27;19
2016-08-26-10-00-00;37;20;17
2016-08-26-10-15-00;38;21;17
2016-08-26-10-30-00;33;18;15
2016-08-26-10-45-00;26;13;13
2016-08-26-11-00-00;28;11;17
2016-08-26-11-15-00;26;16;10
2016-08-26-11-30-00;30;14;16
2016-08-26-11-45-00;41;18;23
2016-08-26-12-00-00;42;18;24
2016-08-26-12-15-00;40;17;23
2016-08-26-12-30-00;35;18;17
2016-08-26-12-45-00;52;24;28
2016-08-26-13-00-00;49;22;27
2016-08-26-13-15-00;57;22;35
2016-08-26-13-30-00;55;26;29
2016-08-26-13-45-00;41;16;25
2016-08-26-14-00-00;51;26;25
2016-08-26-14-15-00;52;23;29
2016-08-26-14-30-00;37;16;21
2016-08-26-14-45-00;49;20;29
2016-08-26-15-00-00;52;26;26
2016-08-26-15-15-00;58;30;28
2016-08-26-15-30-00;67;39;28
2016-08-26-15-45-00;70;52;18
2016-08-26-16-00-00;52;27;25
2016-08-26-16-15-00;64;38;26
2016-08-26-16-30-00;72;46;26
2016-08-26-16-45-00;67;41;26
2016-08-26-17-00-00;48;24;24
2016-08-26-17-15-00;66;41;25
2016-08-26-17-30-00;41;20;21
2016-08-26-17-45-00;52;27;25
2016-08-26-18-00-00;31;11;20
2016-08-26-18-15-00;33;19;14
2016-08-26-18-30-00;41;19;22
2016-08-26-18-45-00;49;27;22
2016-08-26-19-00-00;50;24;26
2016-08-26-19-15-00;30;13;17
2016-08-26-19-30-00;48;23;25
2016-08-26-19-45-00;28;19;9
2016-08-26-20-00-00;34;17;17
2016-08-26-20-15-00;33;14;19
2016-08-26-20-30-00;19;8;11
2016-08-26-20-45-00;17;10;7
2016-08-26-21-00-00;34;12;22
2016-08-26-21-15-00;16;8;8
2016-08-26-21-30-00;14;8;6
2016-08-26-21-45-00;15;7;8
2016-08-26-22-00-00;16;1;15
2016-08-26-22-15-00;23;6;17
2016-08-26-22-30-00;21;10;11
2016-08-26-22-45-00;37;26;11
2016-08-26-23-00-00;12;4;8
2016-08-26-23-15-00;7;3;4
2016-08-26-23-30-00;7;1;6
2016-08-26-23-45-00;13;4;9
2016-08-27-00-00-00;7;5;2
2016-08-27-00-15-00;10;2;8
2016-08-27-00-30-00;18;5;13
2016-08-27-00-45-00;6;1;5
2016-08-27-01-00-00;4;3;1
2016-08-27-01-15-00;7;2;5
2016-08-27-01-30-00;4;3;1
2016-08-27-01-45-00;9;1;8
2016-08-27-02-00-00;4;0;4
2016-08-27-02-15-00;5;0;5
2016-08-27-02-30-00;12;0;12
2016-08-27-02-45-00;5;0;5
2016-08-27-03-00-00;2;1;1
2016-08-27-03-15-00;0;0;0
2016-08-27-03-30-00;0;0;0
2016-08-27-03-45-00;0;0;0
2016-08-27-04-00-00;0;0;0
2016-08-27-04-15-00;2;0;2
2016-08-27-04-30-00;1;0;1
2016-08-27-04-45-00;1;0;1
2016-08-27-05-00-00;1;1;0
2016-08-27-05-15-00;1;0;1
2016-08-27-05-30-00;2;1;1
2016-08-27-05-45-00;1;1;0
2016-08-27-06-00-00;3;1;2
2016-08-27-06-15-00;0;0;0
2016-08-27-06-30-00;0;0;0
2016-08-27-06-45-00;2;1;1
2016-08-27-07-00-00;4;3;1
2016-08-27-07-15-00;7;2;5
2016-08-27-07-30-00;3;3;0
2016-08-27-07-45-00;3;3;0
2016-08-27-08-00-00;7;6;1
2016-08-27-08-15-00;11;4;7
2016-08-27-08-30-00;12;10;2
2016-08-27-08-45-00;11;7;4
2016-08-27-09-00-00;9;6;3
2016-08-27-09-15-00;22;11;11
2016-08-27-09-30-00;6;4;2
2016-08-27-09-45-00;24;14;10
2016-08-27-10-00-00;14;9;5
2016-08-27-10-15-00;32;16;16
2016-08-27-10-30-00;21;15;6
2016-08-27-10-45-00;27;20;7
2016-08-27-11-00-00;48;34;14
2016-08-27-11-15-00;28;16;12
2016-08-27-11-30-00;29;18;11
2016-08-27-11-45-00;50;29;21
2016-08-27-12-00-00;32;17;15
2016-08-27-12-15-00;22;12;10
2016-08-27-12-30-00;31;14;17
2016-08-27-12-45-00;26;11;15
2016-08-27-13-00-00;27;10;17
2016-08-27-13-15-00;27;10;17
2016-08-27-13-30-00;26;8;18
2016-08-27-13-45-00;34;14;20
2016-08-27-14-00-00;31;13;18
2016-08-27-14-15-00;33;7;26
2016-08-27-14-30-00;19;8;11
2016-08-27-14-45-00;30;8;22
2016-08-27-15-00-00;30;10;20
2016-08-27-15-15-00;25;12;13
2016-08-27-15-30-00;20;10;10
2016-08-27-15-45-00;13;8;5
2016-08-27-16-00-00;18;8;10
2016-08-27-16-15-00;22;12;10
2016-08-27-16-30-00;14;3;11
2016-08-27-16-45-00;16;10;6
2016-08-27-17-00-00;25;8;17
2016-08-27-17-15-00;21;10;11
2016-08-27-17-30-00;28;7;21
2016-08-27-17-45-00;21;12;9
2016-08-27-18-00-00;18;11;7
2016-08-27-18-15-00;25;11;14
2016-08-27-18-30-00;17;10;7
2016-08-27-18-45-00;25;15;10
2016-08-27-19-00-00;20;11;9
2016-08-27-19-15-00;29;18;11
2016-08-27-19-30-00;13;3;10
2016-08-27-19-45-00;18;10;8
2016-08-27-20-00-00;17;13;4
2016-08-27-20-15-00;15;8;7
2016-08-27-20-30-00;14;10;4
2016-08-27-20-45-00;13;7;6
2016-08-27-21-00-00;3;1;2
2016-08-27-21-15-00;14;3;11
2016-08-27-21-30-00;21;12;9
2016-08-27-21-45-00;7;5;2
2016-08-27-22-00-00;22;6;16
2016-08-27-22-15-00;14;7;7
2016-08-27-22-30-00;6;3;3
2016-08-27-22-45-00;20;8;12
2016-08-27-23-00-00;11;8;3
2016-08-27-23-15-00;13;5;8
2016-08-27-23-30-00;6;5;1
2016-08-27-23-45-00;4;2;2
2016-08-28-00-00-00;11;4;7
2016-08-28-00-15-00;2;0;2
2016-08-28-00-30-00;7;1;6
2016-08-28-00-45-00;8;1;7
2016-08-28-01-00-00;6;2;4
2016-08-28-01-15-00;2;0;2
2016-08-28-01-30-00;7;3;4
2016-08-28-01-45-00;4;0;4
2016-08-28-02-00-00;3;0;3
2016-08-28-02-15-00;2;0;2
2016-08-28-02-30-00;1;0;1
2016-08-28-02-45-00;1;0;1
2016-08-28-03-00-00;2;1;1
2016-08-28-03-15-00;4;1;3
2016-08-28-03-30-00;4;0;4
2016-08-28-03-45-00;0;0;0
2016-08-28-04-00-00;1;1;0
2016-08-28-04-15-00;0;0;0
2016-08-28-04-30-00;0;0;0
2016-08-28-04-45-00;0;0;0
2016-08-28-05-00-00;0;0;0
2016-08-28-05-15-00;1;0;1
2016-08-28-05-30-00;4;3;1
2016-08-28-05-45-00;3;1;2
2016-08-28-06-00-00;0;0;0
2016-08-28-06-15-00;2;2;0
2016-08-28-06-30-00;0;0;0
2016-08-28-06-45-00;1;0;1
2016-08-28-07-00-00;3;1;2
2016-08-28-07-15-00;5;1;4
2016-08-28-07-30-00;4;1;3
2016-08-28-07-45-00;3;2;1
2016-08-28-08-00-00;2;1;1
2016-08-28-08-15-00;2;1;1
2016-08-28-08-30-00;6;3;3
2016-08-28-08-45-00;11;8;3
2016-08-28-09-00-00;11;5;6
2016-08-28-09-15-00;11;3;8
2016-08-28-09-30-00;20;12;8
2016-08-28-09-45-00;11;8;3
2016-08-28-10-00-00;20;10;10
2016-08-28-10-15-00;18;13;5
2016-08-28-10-30-00;17;9;8
2016-08-28-10-45-00;28;12;16
2016-08-28-11-00-00;24;10;14
2016-08-28-11-15-00;10;2;8
2016-08-28-11-30-00;20;12;8
2016-08-28-11-45-00;24;10;14
2016-08-28-12-00-00;21;13;8
2016-08-28-12-15-00;18;8;10
2016-08-28-12-30-00;20;8;12
2016-08-28-12-45-00;20;8;12
2016-08-28-13-00-00;18;13;5
2016-08-28-13-15-00;17;8;9
2016-08-28-13-30-00;19;10;9
2016-08-28-13-45-00;27;11;16
2016-08-28-14-00-00;16;6;10
2016-08-28-14-15-00;9;1;8
2016-08-28-14-30-00;4;1;3
2016-08-28-14-45-00;17;7;10
2016-08-28-15-00-00;15;7;8
2016-08-28-15-15-00;28;12;16
2016-08-28-15-30-00;26;6;20
2016-08-28-15-45-00;20;12;8
2016-08-28-16-00-00;13;3;10
2016-08-28-16-15-00;21;12;9
2016-08-28-16-30-00;18;8;10
2016-08-28-16-45-00;16;8;8
2016-08-28-17-00-00;13;2;11
2016-08-28-17-15-00;13;10;3
2016-08-28-17-30-00;22;10;12
2016-08-28-17-45-00;17;9;8
2016-08-28-18-00-00;22;10;12
2016-08-28-18-15-00;19;13;6
2016-08-28-18-30-00;16;4;12
2016-08-28-18-45-00;17;10;7
2016-08-28-19-00-00;14;5;9
2016-08-28-19-15-00;21;4;17
2016-08-28-19-30-00;15;7;8
2016-08-28-19-45-00;19;9;10
2016-08-28-20-00-00;10;3;7
2016-08-28-20-15-00;15;9;6
2016-08-28-20-30-00;13;9;4
2016-08-28-20-45-00;5;0;5
2016-08-28-21-00-00;11;5;6
2016-08-28-21-15-00;10;2;8
2016-08-28-21-30-00;9;4;5
2016-08-28-21-45-00;3;1;2
2016-08-28-22-00-00;6;2;4
2016-08-28-22-15-00;13;4;9
2016-08-28-22-30-00;11;5;6
2016-08-28-22-45-00;7;5;2
2016-08-28-23-00-00;4;0;4
2016-08-28-23-15-00;4;1;3
2016-08-28-23-30-00;1;0;1
2016-08-28-23-45-00;2;1;1
2016-08-29-00-00-00;3;2;1
2016-08-29-00-15-00;6;2;4
2016-08-29-00-30-00;2;1;1
2016-08-29-00-45-00;1;0;1
2016-08-29-01-00-00;1;0;1
2016-08-29-01-15-00;0;0;0
2016-08-29-01-30-00;0;0;0
2016-08-29-01-45-00;0;0;0
2016-08-29-02-00-00;0;0;0
2016-08-29-02-15-00;0;0;0
2016-08-29-02-30-00;1;0;1
2016-08-29-02-45-00;0;0;0
2016-08-29-03-00-00;0;0;0
2016-08-29-03-15-00;0;0;0
2016-08-29-03-30-00;0;0;0
2016-08-29-03-45-00;0;0;0
2016-08-29-04-00-00;0;0;0
2016-08-29-04-15-00;1;1;0
2016-08-29-04-30-00;1;1;0
2016-08-29-04-45-00;1;0;1
2016-08-29-05-00-00;4;3;1
2016-08-29-05-15-00;1;0;1
2016-08-29-05-30-00;4;4;0
2016-08-29-05-45-00;5;4;1
2016-08-29-06-00-00;11;7;4
2016-08-29-06-15-00;11;6;5
2016-08-29-06-30-00;21;11;10
2016-08-29-06-45-00;34;16;18
2016-08-29-07-00-00;34;17;17
2016-08-29-07-15-00;44;20;24
2016-08-29-07-30-00;80;41;39
2016-08-29-07-45-00;101;52;49
2016-08-29-08-00-00;88;36;52
2016-08-29-08-15-00;106;36;70
2016-08-29-08-30-00;133;53;80
2016-08-29-08-45-00;117;41;76
2016-08-29-09-00-00;70;22;48
2016-08-29-09-15-00;64;29;35
2016-08-29-09-30-00;41;17;24
2016-08-29-09-45-00;51;25;26
2016-08-29-10-00-00;47;29;18
2016-08-29-10-15-00;30;16;14
2016-08-29-10-30-00;24;14;10
2016-08-29-10-45-00;17;9;8
2016-08-29-11-00-00;28;21;7
2016-08-29-11-15-00;37;16;21
2016-08-29-11-30-00;28;13;15
2016-08-29-11-45-00;26;9;17
2016-08-29-12-00-00;28;9;19
2016-08-29-12-15-00;44;18;26
2016-08-29-12-30-00;30;15;15
2016-08-29-12-45-00;22;8;14
2016-08-29-13-00-00;48;24;24
2016-08-29-13-15-00;34;11;23
2016-08-29-13-30-00;38;16;22
2016-08-29-13-45-00;34;18;16
2016-08-29-14-00-00;31;12;19
2016-08-29-14-15-00;44;17;27
2016-08-29-14-30-00;46;20;26
2016-08-29-14-45-00;51;25;26
2016-08-29-15-00-00;29;13;16
2016-08-29-15-15-00;52;31;21
2016-08-29-15-30-00;37;16;21
2016-08-29-15-45-00;47;25;22
2016-08-29-16-00-00;58;24;34
2016-08-29-16-15-00;56;26;30
2016-08-29-16-30-00;70;41;29
2016-08-29-16-45-00;77;41;36
2016-08-29-17-00-00;74;44;30
2016-08-29-17-15-00;68;44;24
2016-08-29-17-30-00;81;54;27
2016-08-29-17-45-00;82;53;29
2016-08-29-18-00-00;92;47;45
2016-08-29-18-15-00;87;53;34
2016-08-29-18-30-00;68;36;32
2016-08-29-18-45-00;57;31;26
2016-08-29-19-00-00;53;27;26
2016-08-29-19-15-00;41;19;22
2016-08-29-19-30-00;44;23;21
2016-08-29-19-45-00;37;16;21
2016-08-29-20-00-00;36;17;19
2016-08-29-20-15-00;32;9;23
2016-08-29-20-30-00;12;4;8
2016-08-29-20-45-00;23;7;16
2016-08-29-21-00-00;14;6;8
2016-08-29-21-15-00;23;9;14
2016-08-29-21-30-00;20;6;14
2016-08-29-21-45-00;10;2;8
2016-08-29-22-00-00;16;7;9
2016-08-29-22-15-00;10;7;3
2016-08-29-22-30-00;8;5;3
2016-08-29-22-45-00;4;3;1
2016-08-29-23-00-00;13;7;6
2016-08-29-23-15-00;10;2;8
2016-08-29-23-30-00;8;3;5
2016-08-29-23-45-00;2;0;2
2016-08-30-00-00-00;4;2;2
2016-08-30-00-15-00;3;0;3
2016-08-30-00-30-00;2;1;1
2016-08-30-00-45-00;0;0;0
2016-08-30-01-00-00;3;1;2
2016-08-30-01-15-00;5;2;3
2016-08-30-01-30-00;1;1;0
2016-08-30-01-45-00;1;0;1
2016-08-30-02-00-00;0;0;0
2016-08-30-02-15-00;0;0;0
2016-08-30-02-30-00;0;0;0
2016-08-30-02-45-00;0;0;0
2016-08-30-03-00-00;1;0;1
2016-08-30-03-15-00;0;0;0
2016-08-30-03-30-00;0;0;0
2016-08-30-03-45-00;0;0;0
2016-08-30-04-00-00;1;0;1
2016-08-30-04-15-00;1;0;1
2016-08-30-04-30-00;1;1;0
2016-08-30-04-45-00;1;0;1
2016-08-30-05-00-00;1;1;0
2016-08-30-05-15-00;1;1;0
2016-08-30-05-30-00;5;5;0
2016-08-30-05-45-00;9;8;1
2016-08-30-06-00-00;15;8;7
2016-08-30-06-15-00;9;3;6
2016-08-30-06-30-00;29;17;12
2016-08-30-06-45-00;25;12;13
2016-08-30-07-00-00;41;19;22
2016-08-30-07-15-00;66;26;40
2016-08-30-07-30-00;74;43;31
2016-08-30-07-45-00;105;50;55
2016-08-30-08-00-00;115;50;65
2016-08-30-08-15-00;151;52;99
2016-08-30-08-30-00;125;47;78
2016-08-30-08-45-00;122;46;76
2016-08-30-09-00-00;81;24;57
2016-08-30-09-15-00;60;26;34
2016-08-30-09-30-00;48;26;22
2016-08-30-09-45-00;41;21;20
2016-08-30-10-00-00;37;16;21
2016-08-30-10-15-00;28;15;13
2016-08-30-10-30-00;22;16;6
2016-08-30-10-45-00;20;11;9
2016-08-30-11-00-00;19;12;7
2016-08-30-11-15-00;34;20;14
2016-08-30-11-30-00;28;6;22
2016-08-30-11-45-00;46;24;22
2016-08-30-12-00-00;32;14;18
2016-08-30-12-15-00;38;19;19
2016-08-30-12-30-00;54;22;32
2016-08-30-12-45-00;36;17;19
2016-08-30-13-00-00;42;14;28
2016-08-30-13-15-00;78;40;38
2016-08-30-13-30-00;46;24;22
2016-08-30-13-45-00;57;26;31
2016-08-30-14-00-00;29;11;18
2016-08-30-14-15-00;32;19;13
2016-08-30-14-30-00;37;14;23
2016-08-30-14-45-00;50;28;22
2016-08-30-15-00-00;58;25;33
