 ;5.13 BN - Wilhelm-Spiritus-Ufer ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden
2016-01-18-09-00-00;48;13;2;0;33;0;0
2016-01-18-09-15-00;29;8;1;0;20;0;0
2016-01-18-09-30-00;18;2;1;1;14;0;0
2016-01-18-09-45-00;20;10;1;0;9;0;0
2016-01-18-10-00-00;12;1;1;0;10;0;0
2016-01-18-10-15-00;13;4;0;0;9;0;0
2016-01-18-10-30-00;10;5;0;0;5;0;0
2016-01-18-10-45-00;10;3;0;1;6;0;0
2016-01-18-11-00-00;12;6;0;0;6;0;0
2016-01-18-11-15-00;9;3;0;0;6;0;0
2016-01-18-11-30-00;5;2;0;0;3;0;0
2016-01-18-11-45-00;8;4;0;1;3;0;0
2016-01-18-12-00-00;14;7;0;0;7;0;0
2016-01-18-12-15-00;18;12;1;1;4;0;0
2016-01-18-12-30-00;15;8;1;1;5;0;0
2016-01-18-12-45-00;9;4;1;0;4;0;0
2016-01-18-13-00-00;13;7;0;0;6;0;0
2016-01-18-13-15-00;19;6;0;1;12;0;0
2016-01-18-13-30-00;15;4;0;0;11;0;0
2016-01-18-13-45-00;18;12;0;0;6;0;0
2016-01-18-14-00-00;22;8;1;2;11;0;0
2016-01-18-14-15-00;11;5;2;1;3;0;0
2016-01-18-14-30-00;16;8;1;1;6;0;0
2016-01-18-14-45-00;24;12;2;2;8;0;0
2016-01-18-15-00-00;23;10;1;4;8;0;0
2016-01-18-15-15-00;18;10;0;1;7;0;0
2016-01-18-15-30-00;22;12;0;1;9;0;0
2016-01-18-15-45-00;26;17;0;1;8;0;0
2016-01-18-16-00-00;22;14;1;0;7;0;0
2016-01-18-16-15-00;31;22;1;0;8;0;0
2016-01-18-16-30-00;37;22;1;3;11;0;0
2016-01-18-16-45-00;28;18;0;1;9;0;0
2016-01-18-17-00-00;29;19;0;0;10;0;0
2016-01-18-17-15-00;45;33;1;1;10;0;0
2016-01-18-17-30-00;46;31;1;0;14;0;0
2016-01-18-17-45-00;44;32;0;1;11;0;0
2016-01-18-18-00-00;36;24;1;0;11;0;0
2016-01-18-18-15-00;43;33;1;0;9;0;0
2016-01-18-18-30-00;35;25;1;2;7;0;0
2016-01-18-18-45-00;29;19;0;0;10;0;0
2016-01-18-19-00-00;23;18;0;1;4;0;0
2016-01-18-19-15-00;21;10;1;0;10;0;0
2016-01-18-19-30-00;9;7;0;0;2;0;0
2016-01-18-19-45-00;20;12;2;2;4;0;0
2016-01-18-20-00-00;18;7;2;2;7;0;0
2016-01-18-20-15-00;8;5;0;0;3;0;0
2016-01-18-20-30-00;4;2;0;0;2;0;0
2016-01-18-20-45-00;2;0;0;0;2;0;0
2016-01-18-21-00-00;9;2;1;0;6;0;0
2016-01-18-21-15-00;2;1;0;0;1;0;0
2016-01-18-21-30-00;2;1;0;0;1;0;0
2016-01-18-21-45-00;3;0;0;0;3;0;0
2016-01-18-22-00-00;3;2;0;0;1;0;0
2016-01-18-22-15-00;5;5;0;0;0;0;0
2016-01-18-22-30-00;2;1;0;0;1;0;0
2016-01-18-22-45-00;2;0;1;0;1;0;0
2016-01-18-23-00-00;1;1;0;0;0;0;0
2016-01-18-23-15-00;0;0;0;0;0;0;0
2016-01-18-23-30-00;0;0;0;0;0;0;0
2016-01-18-23-45-00;0;0;0;0;0;0;0
2016-01-19-00-00-00;0;0;0;0;0;0;0
2016-01-19-00-15-00;0;0;0;0;0;0;0
2016-01-19-00-30-00;1;0;0;0;1;0;0
2016-01-19-00-45-00;1;0;0;0;1;0;0
2016-01-19-01-00-00;1;1;0;0;0;0;0
2016-01-19-01-15-00;0;0;0;0;0;0;0
2016-01-19-01-30-00;0;0;0;0;0;0;0
2016-01-19-01-45-00;0;0;0;0;0;0;0
2016-01-19-02-00-00;0;0;0;0;0;0;0
2016-01-19-02-15-00;0;0;0;0;0;0;0
2016-01-19-02-30-00;0;0;0;0;0;0;0
2016-01-19-02-45-00;0;0;0;0;0;0;0
2016-01-19-03-00-00;0;0;0;0;0;0;0
2016-01-19-03-15-00;0;0;0;0;0;0;0
2016-01-19-03-30-00;0;0;0;0;0;0;0
2016-01-19-03-45-00;0;0;0;0;0;0;0
2016-01-19-04-00-00;0;0;0;0;0;0;0
2016-01-19-04-15-00;0;0;0;0;0;0;0
2016-01-19-04-30-00;0;0;0;0;0;0;0
2016-01-19-04-45-00;0;0;0;0;0;0;0
2016-01-19-05-00-00;1;0;1;0;0;0;0
2016-01-19-05-15-00;0;0;0;0;0;0;0
2016-01-19-05-30-00;3;1;0;0;2;0;0
2016-01-19-05-45-00;6;3;0;0;3;0;0
2016-01-19-06-00-00;8;2;1;0;5;0;0
2016-01-19-06-15-00;8;4;1;0;3;0;0
2016-01-19-06-30-00;8;4;0;0;4;0;0
2016-01-19-06-45-00;14;5;2;0;7;0;0
2016-01-19-07-00-00;22;7;1;0;14;0;0
2016-01-19-07-15-00;16;4;0;0;12;0;0
2016-01-19-07-30-00;31;12;2;2;15;0;0
2016-01-19-07-45-00;44;10;0;1;33;0;0
2016-01-19-08-00-00;52;6;1;0;45;0;0
2016-01-19-08-15-00;52;7;2;1;42;0;0
2016-01-19-08-30-00;67;16;2;0;49;0;0
2016-01-19-08-45-00;60;11;3;3;43;0;0
2016-01-19-09-00-00;41;10;0;1;30;0;0
2016-01-19-09-15-00;29;8;2;0;19;0;0
2016-01-19-09-30-00;23;7;2;0;14;0;0
2016-01-19-09-45-00;19;7;0;0;12;0;0
2016-01-19-10-00-00;12;4;0;0;8;0;0
2016-01-19-10-15-00;14;3;2;0;9;0;0
2016-01-19-10-30-00;7;4;0;1;2;0;0
2016-01-19-10-45-00;10;3;1;1;5;0;0
2016-01-19-11-00-00;13;6;1;0;6;0;0
2016-01-19-11-15-00;13;10;0;0;3;0;0
2016-01-19-11-30-00;10;3;0;1;6;0;0
2016-01-19-11-45-00;11;5;0;0;6;0;0
2016-01-19-12-00-00;9;5;0;1;3;0;0
2016-01-19-12-15-00;9;2;0;1;6;0;0
2016-01-19-12-30-00;8;2;0;0;6;0;0
2016-01-19-12-45-00;9;6;0;0;3;0;0
2016-01-19-13-00-00;16;7;0;0;9;0;0
2016-01-19-13-15-00;12;3;0;0;9;0;0
2016-01-19-13-30-00;14;6;0;0;8;0;0
2016-01-19-13-45-00;12;3;0;1;8;0;0
2016-01-19-14-00-00;12;4;1;0;7;0;0
2016-01-19-14-15-00;19;11;0;1;7;0;0
2016-01-19-14-30-00;17;11;0;0;6;0;0
2016-01-19-14-45-00;15;6;2;0;7;0;0
2016-01-19-15-00-00;12;6;0;1;5;0;0
2016-01-19-15-15-00;17;7;1;0;9;0;0
2016-01-19-15-30-00;17;10;1;1;5;0;0
2016-01-19-15-45-00;19;13;1;0;5;0;0
2016-01-19-16-00-00;18;12;1;0;5;0;0
2016-01-19-16-15-00;25;21;0;0;4;0;0
2016-01-19-16-30-00;16;14;1;0;1;0;0
2016-01-19-16-45-00;21;16;0;2;3;0;0
2016-01-19-17-00-00;40;26;0;2;12;0;0
2016-01-19-17-15-00;41;30;1;2;8;0;0
2016-01-19-17-30-00;39;31;0;0;8;0;0
2016-01-19-17-45-00;42;29;1;3;9;0;0
2016-01-19-18-00-00;27;19;1;0;7;0;0
2016-01-19-18-15-00;33;26;0;1;6;0;0
2016-01-19-18-30-00;30;21;0;4;5;0;0
2016-01-19-18-45-00;30;21;2;1;6;0;0
2016-01-19-19-00-00;23;15;0;1;7;0;0
2016-01-19-19-15-00;12;7;0;1;4;0;0
2016-01-19-19-30-00;9;6;0;0;3;0;0
2016-01-19-19-45-00;9;3;1;0;5;0;0
2016-01-19-20-00-00;10;5;0;1;4;0;0
2016-01-19-20-15-00;6;5;1;0;0;0;0
2016-01-19-20-30-00;7;4;0;0;3;0;0
2016-01-19-20-45-00;2;2;0;0;0;0;0
2016-01-19-21-00-00;5;2;2;0;1;0;0
2016-01-19-21-15-00;6;2;1;0;3;0;0
2016-01-19-21-30-00;4;0;0;0;4;0;0
2016-01-19-21-45-00;1;1;0;0;0;0;0
2016-01-19-22-00-00;3;2;0;0;1;0;0
2016-01-19-22-15-00;2;1;0;0;1;0;0
2016-01-19-22-30-00;0;0;0;0;0;0;0
2016-01-19-22-45-00;0;0;0;0;0;0;0
2016-01-19-23-00-00;1;1;0;0;0;0;0
2016-01-19-23-15-00;1;1;0;0;0;0;0
2016-01-19-23-30-00;1;1;0;0;0;0;0
2016-01-19-23-45-00;1;1;0;0;0;0;0
2016-01-20-00-00-00;0;0;0;0;0;0;0
2016-01-20-00-15-00;0;0;0;0;0;0;0
2016-01-20-00-30-00;0;0;0;0;0;0;0
2016-01-20-00-45-00;0;0;0;0;0;0;0
2016-01-20-01-00-00;0;0;0;0;0;0;0
2016-01-20-01-15-00;0;0;0;0;0;0;0
2016-01-20-01-30-00;0;0;0;0;0;0;0
2016-01-20-01-45-00;0;0;0;0;0;0;0
2016-01-20-02-00-00;0;0;0;0;0;0;0
2016-01-20-02-15-00;0;0;0;0;0;0;0
2016-01-20-02-30-00;0;0;0;0;0;0;0
2016-01-20-02-45-00;0;0;0;0;0;0;0
2016-01-20-03-00-00;0;0;0;0;0;0;0
2016-01-20-03-15-00;0;0;0;0;0;0;0
2016-01-20-03-30-00;0;0;0;0;0;0;0
2016-01-20-03-45-00;0;0;0;0;0;0;0
2016-01-20-04-00-00;0;0;0;0;0;0;0
2016-01-20-04-15-00;0;0;0;0;0;0;0
2016-01-20-04-30-00;0;0;0;0;0;0;0
2016-01-20-04-45-00;3;0;1;0;2;0;0
2016-01-20-05-00-00;1;1;0;0;0;0;0
2016-01-20-05-15-00;1;0;1;0;0;0;0
2016-01-20-05-30-00;5;2;1;0;2;0;0
2016-01-20-05-45-00;0;0;0;0;0;0;0
2016-01-20-06-00-00;4;2;0;0;2;0;0
