time,Kennedybruecke (Nord) Ri. Innenstadt,Kennedybruecke (Nord) Ri. Beuel,days
2018-04-01 07:45:00,39,5,2018-04-01
2018-04-01 08:00:00,52,5,2018-04-01
2018-04-01 08:15:00,34,5,2018-04-01
2018-04-01 08:30:00,33,7,2018-04-01
2018-04-01 08:45:00,38,7,2018-04-01
2018-04-01 09:00:00,20,0,2018-04-01
2018-04-01 09:15:00,23,2,2018-04-01
2018-04-01 09:30:00,19,6,2018-04-01
2018-04-01 09:45:00,26,5,2018-04-01
2018-04-01 10:00:00,22,4,2018-04-01
2018-04-01 10:15:00,10,3,2018-04-01
2018-04-01 10:30:00,9,3,2018-04-01
2018-04-01 10:45:00,4,2,2018-04-01
2018-04-01 11:00:00,6,0,2018-04-01
2018-04-01 11:15:00,9,4,2018-04-01
2018-04-01 11:30:00,13,1,2018-04-01
2018-04-01 11:45:00,4,2,2018-04-01
2018-04-01 12:00:00,10,2,2018-04-01
2018-04-01 12:15:00,9,0,2018-04-01
2018-04-01 12:30:00,7,2,2018-04-01
2018-04-01 12:45:00,8,0,2018-04-01
2018-04-01 13:00:00,9,2,2018-04-01
2018-04-01 13:15:00,12,3,2018-04-01
2018-04-01 13:30:00,13,4,2018-04-01
2018-04-01 13:45:00,11,2,2018-04-01
2018-04-01 14:00:00,9,3,2018-04-01
2018-04-01 14:15:00,11,3,2018-04-01
2018-04-01 14:30:00,13,2,2018-04-01
2018-04-01 14:45:00,11,4,2018-04-01
2018-04-01 15:00:00,14,1,2018-04-01
2018-04-01 15:15:00,4,2,2018-04-01
2018-04-01 15:30:00,9,3,2018-04-01
2018-04-01 15:45:00,18,5,2018-04-01
2018-04-01 16:00:00,10,6,2018-04-01
2018-04-01 16:15:00,18,10,2018-04-01
2018-04-01 16:30:00,19,8,2018-04-01
2018-04-01 16:45:00,23,6,2018-04-01
2018-04-01 17:00:00,26,9,2018-04-01
2018-04-01 17:15:00,16,12,2018-04-01
2018-04-01 17:30:00,15,8,2018-04-01
2018-04-01 17:45:00,24,5,2018-04-01
2018-04-01 18:00:00,20,4,2018-04-01
2018-04-01 18:15:00,15,11,2018-04-01
2018-04-01 18:30:00,15,6,2018-04-01
2018-04-01 18:45:00,21,3,2018-04-01
2018-04-01 19:00:00,12,8,2018-04-01
2018-04-01 19:15:00,13,3,2018-04-01
2018-04-01 19:30:00,12,6,2018-04-01
2018-04-01 19:45:00,10,3,2018-04-01
2018-04-01 20:00:00,7,6,2018-04-01
2018-04-01 20:15:00,7,4,2018-04-01
2018-04-01 20:30:00,6,3,2018-04-01
2018-04-01 20:45:00,8,1,2018-04-01
2018-04-01 21:00:00,5,2,2018-04-01
2018-04-01 21:15:00,4,1,2018-04-01
2018-04-01 21:30:00,2,1,2018-04-01
2018-04-01 21:45:00,9,0,2018-04-01
2018-04-01 22:00:00,4,0,2018-04-01
2018-04-01 22:15:00,6,4,2018-04-01
2018-04-01 22:30:00,5,1,2018-04-01
2018-04-01 22:45:00,16,3,2018-04-01
2018-04-01 23:00:00,6,1,2018-04-01
2018-04-01 23:15:00,2,1,2018-04-01
2018-04-01 23:30:00,4,0,2018-04-01
2018-04-01 23:45:00,2,0,2018-04-01
2018-05-01 00:00:00,0,0,2018-05-01
2018-05-01 00:15:00,1,0,2018-05-01
2018-05-01 00:30:00,4,0,2018-05-01
2018-05-01 00:45:00,0,1,2018-05-01
2018-05-01 01:00:00,1,1,2018-05-01
2018-05-01 01:15:00,0,0,2018-05-01
2018-05-01 01:30:00,0,1,2018-05-01
2018-05-01 01:45:00,1,0,2018-05-01
2018-05-01 02:00:00,1,1,2018-05-01
2018-05-01 02:15:00,2,0,2018-05-01
2018-05-01 02:30:00,0,0,2018-05-01
2018-05-01 02:45:00,1,0,2018-05-01
2018-05-01 03:00:00,0,0,2018-05-01
2018-05-01 03:15:00,0,0,2018-05-01
2018-05-01 03:30:00,0,0,2018-05-01
2018-05-01 03:45:00,1,0,2018-05-01
2018-05-01 04:00:00,1,0,2018-05-01
2018-05-01 04:15:00,0,0,2018-05-01
2018-05-01 04:30:00,2,1,2018-05-01
2018-05-01 04:45:00,0,0,2018-05-01
2018-05-01 05:00:00,1,1,2018-05-01
2018-05-01 05:15:00,3,0,2018-05-01
2018-05-01 05:30:00,5,0,2018-05-01
2018-05-01 05:45:00,6,1,2018-05-01
2018-05-01 06:00:00,7,0,2018-05-01
2018-05-01 06:15:00,15,0,2018-05-01
2018-05-01 06:30:00,15,1,2018-05-01
2018-05-01 06:45:00,25,1,2018-05-01
2018-05-01 07:00:00,26,4,2018-05-01
2018-05-01 07:15:00,24,2,2018-05-01
2018-05-01 07:30:00,33,5,2018-05-01
2018-05-01 07:45:00,44,2,2018-05-01
2018-05-01 08:00:00,31,2,2018-05-01
2018-05-01 08:15:00,36,8,2018-05-01
2018-05-01 08:30:00,45,14,2018-05-01
2018-05-01 08:45:00,34,6,2018-05-01
2018-05-01 09:00:00,28,6,2018-05-01
2018-05-01 09:15:00,23,7,2018-05-01
2018-05-01 09:30:00,32,6,2018-05-01
2018-05-01 09:45:00,25,4,2018-05-01
2018-05-01 10:00:00,17,1,2018-05-01
2018-05-01 10:15:00,29,7,2018-05-01
2018-05-01 10:30:00,20,2,2018-05-01
2018-05-01 10:45:00,22,1,2018-05-01
2018-05-01 11:00:00,13,2,2018-05-01
2018-05-01 11:15:00,21,1,2018-05-01
2018-05-01 11:30:00,25,6,2018-05-01
2018-05-01 11:45:00,25,4,2018-05-01
2018-05-01 12:00:00,23,8,2018-05-01
2018-05-01 12:15:00,20,4,2018-05-01
2018-05-01 12:30:00,28,5,2018-05-01
2018-05-01 12:45:00,24,4,2018-05-01
2018-05-01 13:00:00,12,7,2018-05-01
2018-05-01 13:15:00,12,6,2018-05-01
2018-05-01 13:30:00,22,7,2018-05-01
2018-05-01 13:45:00,22,6,2018-05-01
